air_var,scope,N_voice,N_silent,mean_silent,mean_voice,mean_diff_voice_minus_silent,welch_p_two_sided,welch_p_one_sided_gt,hac_coef_voice,hac_p_two_sided,hac_p_one_sided_gt
CO2,ALL,118,1301,1420.8758186010762,1526.4241525423731,105.54833394129696,0.04571530950413955,0.022857654752069776,105.54833394129754,0.20314724970092757,0.10157362485046378
CO2,VENT_OFF,105,1045,1380.9585837320574,1530.778,149.81941626794264,0.010597029631064351,0.0052985148155321755,149.81941626794332,0.10164911557247444,0.05082455778623722
PM1,ALL,69,781,8.022330345710628,7.549710144927537,-0.4726202007830915,0.8293898957665131,0.5853050521167434,-0.4726202007830867,0.8559070194236984,0.5720464902881508
PM1,VENT_OFF,59,629,7.999459459459459,4.945762711864406,-3.053696747595053,0.0049102802475974525,0.9975448598762012,-3.0536967475950485,0.0367711640441505,0.9816144179779247
PM25,ALL,69,781,13.592650448143406,12.608260869565218,-0.9843895785781882,0.8104047937959354,0.5947976031020323,-0.9843895785781811,0.8393259167593607,0.5803370416203196
PM25,VENT_OFF,59,629,13.588585055643879,7.615932203389831,-5.972652852254048,0.002151640812904844,0.9989241795935476,-5.972652852254041,0.026503847127214895,0.9867480764363925
PM10,ALL,69,781,15.07414852752881,13.843188405797102,-1.230960121731707,0.7949679586829246,0.6025160206585377,-1.2309601217316974,0.8259453567360107,0.5870273216319947
PM10,VENT_OFF,59,629,15.070699523052467,8.000338983050849,-7.070360540001618,0.0012256592609690825,0.9993871703695154,-7.070360540001608,0.02267497543442489,0.9886625122827876
HUM,ALL,119,1323,67.52412249583257,67.88710920846326,0.36298671263068627,0.325088005616609,0.1625440028083045,0.36298671263073523,0.5093556091700443,0.25467780458502215
HUM,VENT_OFF,106,1062,67.47208516164117,68.08327123135952,0.6111860697183431,0.13439210458117448,0.06719605229058724,0.6111860697182209,0.31070726965545503,0.15535363482772752
TEMP,ALL,119,1323,24.92135393070335,25.020533860603063,0.09917992989971225,0.41022865424204324,0.20511432712102162,0.09917992989973276,0.5550700870635066,0.2775350435317533
TEMP,VENT_OFF,106,1062,24.805041560390997,24.894570847206808,0.08952928681581085,0.4703275053398547,0.23516375266992734,0.08952928681577804,0.5951641986606758,0.2975820993303379
dCO2,ALL,117,1279,0.6681704456606729,2.1443589743589646,1.4761885286982919,0.3230533501917935,0.16152667509589674,1.4761885286982996,0.39255445956044377,0.19627722978022188
dCO2,VENT_OFF,104,1023,4.135112414467252,5.815384615384611,1.6802722009173587,0.019213441404000105,0.009606720702000053,1.6802722009173576,0.04885540645628795,0.024427703228143974
