air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
PM25_roll5,voice_rate_roll5,0,3176,0.05730503252579069,0.00123415428163569,0.5123555217592739,133.20555915399305,0.9919248293779757,0.9269794520984781,0.05730503252579069
PM25_roll5,voice_rate_roll5,1,3175,0.05144067252071496,0.003739815191924946,0.5565105149387037,133.055697423133,0.9919247901420224,0.9270426192132463,0.05144067252071496
PM25_roll5,voice_rate_roll5,2,3174,0.04464745201494814,0.011882201514296527,0.6098456576628242,132.98733057191717,0.9919251280075828,0.927057787044724,0.04464745201494814
PM25_roll5,voice_rate_roll5,20,3156,0.043459129878661754,0.01462048012000241,0.6402978452847485,118.11326655303296,0.9919256153055399,0.9354030296387662,0.043459129878661754
PM25_roll5,voice_rate_roll5,19,3157,0.04020094560161911,0.02389603936881375,0.6655814169956458,118.1474669636107,0.9919256452932401,0.9354049148944064,0.04020094560161911
PM25_roll5,voice_rate_roll5,3,3173,0.03783528553165092,0.033075816798786024,0.6654696761329353,132.9454666909671,0.9919251132970012,0.9270577802532931,0.03783528553165092
PM25_roll5,voice_rate_roll5,18,3158,0.03449910384387607,0.05255931626252297,0.7107289433505809,118.18166413156092,0.9919256774226665,0.9354067988457806,0.03449910384387607
PM25_roll5,voice_rate_roll5,4,3172,0.03163065719426558,0.07488006122351165,0.7177782675699408,132.90345551427754,0.9919251908616935,0.9270577734575786,0.03163065719426558
PM25_roll5,voice_rate_roll5,17,3159,0.027765062149147354,0.1187083785692157,0.7653576975222779,118.21592544010768,0.9919256693156681,0.9354086814942383,0.027765062149147354
PM25_roll5,voice_rate_roll5,5,3171,0.024946413609396905,0.1601884690240951,0.7756251684995958,132.86110872795592,0.9919254788096927,0.9270577666575712,0.024946413609396905
PM25_roll5,voice_rate_roll5,16,3160,0.020335900581572277,0.253110962289588,0.8197698285308522,128.11428676915884,0.9919256933702277,0.9295800244759994,0.020335900581572277
PM25_roll5,voice_rate_roll5,6,3170,0.01935620076284769,0.27594242878221675,0.8249832777214847,132.79309537056196,0.9919254241733518,0.927073118962181,0.01935620076284769
PM25_roll5,voice_rate_roll5,7,3169,0.014233619172549936,0.42313743972821155,0.8708264109150652,132.75489411069634,0.9919253905644164,0.9270709880098238,0.014233619172549936
PM25_roll5,voice_rate_roll5,15,3161,0.013365535416142845,0.45254206054894414,0.8814436893826865,126.83040729441811,0.9919257006582246,0.9303605807160839,0.013365535416142845
PM25_roll5,voice_rate_roll5,8,3168,0.009928246844248895,0.5764316674051112,0.9096974844261769,132.71674250704675,0.9919253259229546,0.9270688555870874,0.009928246844248895
PM25_roll5,voice_rate_roll5,14,3162,0.008017113931575039,0.6522456826348576,0.9290052754595785,125.57654945944799,0.9919257266409587,0.9311235449827419,0.008017113931575039
PM25_roll5,voice_rate_roll5,9,3167,0.006748579205327596,0.7042140384902138,0.9385482623024949,132.6779378299619,0.991925671192863,0.9270667216924483,0.006748579205327596
PM25_roll5,voice_rate_roll5,13,3163,0.005078585104818978,0.775252381115017,0.95535747079151,124.35178323713025,0.9919257029083277,0.9318695053764265,0.005078585104818978
PM25_roll5,voice_rate_roll5,10,3166,0.004637890470046389,0.7942008172393299,0.9577461205757056,132.63954898702536,0.9919257557957216,0.9270645863243853,0.004637890470046389
PM25_roll5,voice_rate_roll5,12,3164,0.00349805256658745,0.8440729802005795,0.9693693369805192,123.15496952122767,0.9919257221670733,0.932599024072735,0.00349805256658745
PM25_roll5,voice_rate_roll5,11,3165,0.003374642019644826,0.8494836608244937,0.9692483590319942,132.6013231953846,0.9919257382097034,0.9270624494813688,0.003374642019644826
