air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
TEMP,voice_rate,2,3340,-0.15397220824806035,3.6017081815543937e-19,1.8375871669534677e-10,1696.0891187403402,0.9878935112687688,0.3304263936771778,0.15397220824806035
TEMP,voice_rate,4,3338,-0.15341562776373596,4.960488693196672e-19,2.165214862066403e-10,1695.188890204681,0.9878495765745496,0.3304103049922716,0.15341562776373596
TEMP,voice_rate,0,3342,-0.1534075794711965,4.747215353382445e-19,2.0920435979013435e-10,1698.1182135715208,0.9879403324547994,0.3301407588191509,0.1534075794711965
TEMP,voice_rate,1,3341,-0.15221494856784848,9.027739887290742e-19,2.9272936869748937e-10,1696.540977912869,0.9879140692895201,0.3304344305045935,0.15221494856784848
TEMP,voice_rate,7,3335,-0.1518142379476563,1.1964045321008941e-18,3.42139490014391e-10,1693.1070565507277,0.9877898846959161,0.3305793686294964,0.1518142379476563
TEMP,voice_rate,3,3339,-0.15128862152352157,1.5031325665182145e-18,3.8024581722475827e-10,1695.6407703993918,0.987870142166641,0.33041835184129825,0.15128862152352157
TEMP,voice_rate,5,3337,-0.15105978114433175,1.734200228280022e-18,4.0914092278495025e-10,1694.7365045122747,0.9878294025285641,0.3304022531254101,0.15105978114433175
TEMP,voice_rate,8,3334,-0.15063552855337067,2.2401844228389777e-18,4.692469095284229e-10,1692.6515722150623,0.9877722446543067,0.33057132765921193,0.15063552855337067
TEMP,voice_rate,10,3332,-0.15049567789720217,2.465647615535136e-18,4.928399512090094e-10,1691.7335539317617,0.9877425657932919,0.33055523065435277,0.15049567789720217
TEMP,voice_rate,6,3336,-0.14947938007950026,3.985092801955188e-18,6.308198305887678e-10,1693.9221869485827,0.9878091335220948,0.33049084170064863,0.14947938007950026
TEMP,voice_rate,9,3333,-0.1492296692120518,4.690743082922918e-18,6.896899648130574e-10,1692.1944119189154,0.9877559329633929,0.33056328166906473,0.1492296692120518
