air_var,scope,N_voice,N_silent,mean_silent,mean_voice,mean_diff_voice_minus_silent,welch_p_two_sided,welch_p_one_sided_gt,hac_coef_voice,hac_p_two_sided,hac_p_one_sided_gt
CO2,ALL,236,2686,1408.388123603872,1539.843559322034,131.4554357181621,0.0003926065211826981,0.00019630326059134906,131.45543571816282,0.040102231231578134,0.020051115615789067
CO2,VENT_OFF,169,1984,1371.9170917338708,1570.9739644970414,199.05687276317053,1.4555018954652965e-05,7.277509477326483e-06,199.05687276317352,0.008036522985506552,0.004018261492753276
PM1,ALL,137,1632,8.169767156862743,7.439416058394161,-0.7303510984685824,0.6446181736657155,0.6776909131671423,-0.7303510984685935,0.7757257224932832,0.6121371387533584
PM1,VENT_OFF,95,1193,8.248985750209554,4.463368421052631,-3.7856173291569233,6.519834770122115e-07,0.9999996740082615,-3.7856173291569073,0.0008784146399972855,0.9995607926800013
PM25,ALL,137,1632,13.973547794117648,12.77007299270073,-1.2034748014169185,0.681063940250128,0.659468029874936,-1.203474801416932,0.7998294781987507,0.6000852609006246
PM25,VENT_OFF,95,1193,14.16048616932104,7.294,-6.86648616932104,2.485357861602139e-07,0.9999998757321069,-6.866486169321011,0.0007281523701291863,0.9996359238149354
PM10,ALL,137,1632,15.316740196078431,13.94029197080292,-1.376448225275512,0.678210623692528,0.660894688153736,-1.3764482252755283,0.7982492606648837,0.6008753696675582
PM10,VENT_OFF,95,1193,15.519262363788767,7.70663157894737,-7.812630784841398,1.3712052843487138e-07,0.9999999314397358,-7.812630784841362,0.0006958839162089451,0.9996520580418955
HUM,ALL,239,2734,66.87815022072982,67.45858342966577,0.5804332089359434,0.026130948318237788,0.013065474159118894,0.580433208935791,0.17176420373061752,0.08588210186530876
HUM,VENT_OFF,172,2025,67.00433996120508,67.97258662098612,0.9682466597810446,0.003679290852764486,0.001839645426382243,0.9682466597811733,0.07106177444197159,0.035530887220985796
TEMP,ALL,239,2734,24.81781829632339,24.771889845511513,-0.04592845081187846,0.5616386698716462,0.7191806650641769,-0.04592845081192678,0.6892644799352927,0.6553677600323536
TEMP,VENT_OFF,172,2025,24.762223090980505,24.73460617042178,-0.027616920558724445,0.7669286168300637,0.6165356915849681,-0.027616920558663164,0.8369881267068163,0.5815059366465918
dCO2,ALL,233,2641,1.994418780764863,2.342875536480682,0.3484567557158189,0.864297415150144,0.432148707575072,0.3484567557158202,0.802967834637181,0.4014839173185905
dCO2,VENT_OFF,166,1939,12.325368746776691,14.00469879518071,1.6793300484040188,0.3998268464574274,0.1999134232287137,1.679330048404031,0.3959808867022928,0.1979904433511464
