air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2_roll5,voice_rate_roll5,20,6667,0.1763061528255087,1.0976881349099442e-47,0.005855060105191149,243.20544203929916,0.9998874493276274,0.9297144195824346,0.1763061528255087
CO2_roll5,voice_rate_roll5,19,6668,0.17592623597569884,1.7156223726395678e-47,0.005963947180903019,243.2391755614345,0.9998874632748829,0.9297151732323125,0.17592623597569884
CO2_roll5,voice_rate_roll5,18,6669,0.1755656030189969,2.617015982384311e-47,0.006068981279474824,243.272903484594,0.9998874789171476,0.9297159266399893,0.1755656030189969
CO2_roll5,voice_rate_roll5,17,6670,0.1751400808269086,4.3147394419092996e-47,0.0061950416981084696,243.30663485601187,0.9998874935375367,0.9297166798055734,0.1751400808269086
CO2_roll5,voice_rate_roll5,16,6671,0.17460444443576204,8.115663805121369e-47,0.006357051387657949,243.3403887269203,0.9998875014178655,0.9297174327291926,0.17460444443576204
CO2_roll5,voice_rate_roll5,15,6672,0.1740786026435789,1.5057499424225056e-46,0.006519773666249614,243.37411719860583,0.9998875169368132,0.929718185410948,0.1740786026435789
CO2_roll5,voice_rate_roll5,14,6673,0.17353289465402782,2.8558651220021445e-46,0.006692570497105037,243.40786126238322,0.9998875277902103,0.9297189378509731,0.17353289465402782
CO2_roll5,voice_rate_roll5,13,6674,0.17284432876988878,6.412185494876077e-46,0.006916434578860595,243.46413951939329,0.9998875446326341,0.9297133979115986,0.17284432876988878
CO2_roll5,voice_rate_roll5,12,6675,0.172091856717361,1.5484427452579612e-45,0.007049673677476115,243.5202309961167,0.9998875417266389,0.9297079301212015,0.172091856717361
CO2_roll5,voice_rate_roll5,11,6676,0.1712480921758793,4.1499154563954864e-45,0.007338531928375132,243.55341049366032,0.9998875536139386,0.929708840235995,0.1712480921758793
CO2_roll5,voice_rate_roll5,10,6677,0.170406565714645,1.103886052675412e-44,0.00763708809107837,243.58664060086548,0.9998875503460775,0.9297097500545828,0.170406565714645
CO2_roll5,voice_rate_roll5,9,6678,0.16944426775030264,3.3660662577847657e-44,0.007991712716394692,243.61986809922598,0.9998875478877562,0.9297106595771079,0.16944426775030264
CO2_roll5,voice_rate_roll5,8,6679,0.1685243843595809,9.707654025442635e-44,0.008344329473731992,243.67574582450968,0.9998875628269787,0.9297052384822959,0.1685243843595809
CO2_roll5,voice_rate_roll5,7,6680,0.16748840829107633,3.183632769389485e-43,0.008757950117356387,243.7319846779043,0.9998875625768457,0.9296997325048092,0.16748840829107633
CO2_roll5,voice_rate_roll5,6,6681,0.16648974908017516,9.928558007498008e-43,0.009173804049257859,243.76571782766015,0.9998875779086822,0.9297004856504895,0.16648974908017516
CO2_roll5,voice_rate_roll5,5,6682,0.16547727365825307,3.1240907857862505e-42,0.009613199303089865,243.7994988017708,0.9998875789220859,0.9297012385545862,0.16547727365825307
CO2_roll5,voice_rate_roll5,4,6683,0.1644858345469236,9.530670802773215e-42,0.010061432657714758,243.83323427029967,0.9998875935881297,0.9297019912172015,0.1644858345469236
CO2_roll5,voice_rate_roll5,3,6684,0.16349321121524285,2.8918127602152535e-41,0.010528632907912594,243.8670134662451,0.999887595167592,0.9297027436384713,0.16349321121524285
CO2_roll5,voice_rate_roll5,2,6685,0.1626167409849656,7.650355355763603e-41,0.01095700005574536,243.90074936525573,0.9998876097338383,0.9297034958184925,0.1626167409849656
CO2_roll5,voice_rate_roll5,1,6686,0.16167818638900083,2.157786687831533e-40,0.011432706728342592,244.0191002233703,0.9998876205186314,0.9296806883847323,0.16167818638900083
CO2_roll5,voice_rate_roll5,0,6687,0.16060711055016788,7.006943967082005e-40,0.01199776036247418,244.1250672688742,0.9998876347256466,0.9296613330389923,0.16060711055016788
