air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2,snr_mean,10,6565,0.21277705497772384,4.325825571903472e-68,4.9880728890943394e-08,643.9911784257729,0.9983706871261758,0.82267707014839,0.21277705497772384
CO2,snr_mean,9,6566,0.21197447599932193,1.3691635787355255e-67,5.613641984881887e-08,644.1071399135543,0.99837080388183,0.8226724532458538,0.21197447599932193
CO2,snr_mean,8,6567,0.21088944028585582,6.506475062369877e-67,6.581068272135432e-08,644.2034824211909,0.9983709898295036,0.822672743963261,0.21088944028585582
CO2,snr_mean,7,6568,0.20962940801418237,3.9485907067560986e-66,7.907254418340834e-08,644.3228518702791,0.9983710102495718,0.8226673464448492,0.20962940801418237
CO2,snr_mean,6,6569,0.20881273300836828,1.2530058097405265e-65,8.900987923267218e-08,644.4172043026502,0.9983711448165453,0.8226681834125081,0.20881273300836828
CO2,snr_mean,5,6570,0.2078480086074323,4.892556991194878e-65,9.999939728994666e-08,644.5762206900381,0.9983712447452747,0.8226526975034002,0.2078480086074323
CO2,snr_mean,4,6571,0.20658065784387106,2.9199007962500288e-64,1.1998132380934724e-07,644.6643376208226,0.9983714024318024,0.822655093796065,0.20658065784387106
CO2,snr_mean,3,6572,0.20602125408762512,6.323536488911412e-64,1.2998019730752847e-07,644.7518458444415,0.9983715034679987,0.8226576898782352,0.20602125408762512
CO2,snr_mean,2,6573,0.2045748921443261,4.7776325497441597e-63,1.597025230063075e-07,644.8329643300785,0.9983716661172211,0.8226618493752923,0.2045748921443261
CO2,snr_mean,1,6574,0.2035252853886563,2.041546747729602e-62,1.8527182539414115e-07,644.9341444109532,0.9983717440650745,0.8226610076134381,0.2035252853886563
CO2,snr_mean,0,6575,0.20269470045933083,6.379683801637869e-62,2.0826095169761218e-07,644.9680464963608,0.9983719055808495,0.8226770965604269,0.20269470045933083
