air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
CO2,voice_rate,10,6565,0.1289386991067521,9.701119454674412e-26,2.20643028375094e-06,1338.7050677693876,0.9983706871261758,0.6623253339593475,0.1289386991067521
CO2,voice_rate,9,6566,0.12861618008467965,1.272368820066829e-25,2.340019626474313e-06,1338.898860510355,0.99837080388183,0.6623273873067608,0.12861618008467965
CO2,voice_rate,8,6567,0.12770213154269244,2.7769736928279347e-25,2.762096840825857e-06,1339.0924351813308,0.9983709898295036,0.6623294400037659,0.12770213154269244
CO2,voice_rate,7,6568,0.12680407040341013,5.945988383316886e-25,3.2472794843493074e-06,1339.2865316565042,0.9983710102495718,0.6623314920506705,0.12680407040341013
CO2,voice_rate,6,6569,0.12629870029652232,9.072864333840314e-25,3.5551714669195024e-06,1339.480268341819,0.9983711448165453,0.6623335434477832,0.12629870029652232
CO2,voice_rate,5,6570,0.12559186547455076,1.6392216822872656e-24,3.999729370236856e-06,1339.6741142738545,0.9983712447452747,0.6623355941954131,0.12559186547455076
CO2,voice_rate,4,6571,0.12459380703859886,3.770490012305165e-24,4.774474596698552e-06,1339.8677780824264,0.9983714024318024,0.6623376442938685,0.12459380703859886
CO2,voice_rate,3,6572,0.1241785825356728,5.2975493082160606e-24,5.137409320590618e-06,1340.0616205861254,0.9983715034679987,0.6623396937434589,0.1241785825356728
CO2,voice_rate,2,6573,0.12322943863276205,1.1593409126603079e-23,6.068722230453222e-06,1340.25526874629,0.9983716661172211,0.6623417425444911,0.12322943863276205
CO2,voice_rate,1,6574,0.12200464768921195,3.1644296680799445e-23,7.393871330533055e-06,1341.597856916887,0.9983717440650745,0.6621023228468785,0.12200464768921195
CO2,voice_rate,0,6575,0.12110871459413358,6.54175328800714e-23,8.699542532225592e-06,1340.928091261059,0.9983719055808495,0.6622858757806467,0.12110871459413358
