air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
TEMP,voice_rate,5,6681,-0.1575153933024134,2.247016622017874e-38,2.2503408441774552e-10,1603.628203182377,0.9213029536548468,0.6652172152522977,0.1575153933024134
TEMP,voice_rate,6,6680,-0.15484344900911565,4.026855150450689e-37,4.538709195341009e-10,1603.602082120042,0.9212431261200157,0.6652152063583241,0.15484344900911565
TEMP,voice_rate,4,6682,-0.15418301981705854,7.933740934885598e-37,5.388097160684755e-10,1603.652991803186,0.9213631560988781,0.6652192235207941,0.15418301981705854
TEMP,voice_rate,0,6686,-0.15372059555101203,1.2342759180600016e-36,6.073116389117686e-10,1603.89206917226,0.9216482919262756,0.6651656066286247,0.15372059555101203
TEMP,voice_rate,3,6683,-0.1533294013399421,1.934845105706852e-36,6.718301758775634e-10,1603.6484298455514,0.9214319314796052,0.6652212311641111,0.1533294013399421
TEMP,voice_rate,2,6684,-0.15231723995016794,5.545018109031246e-36,8.713468788043125e-10,1603.6361854841634,0.921502937801083,0.6652232381825367,0.15231723995016794
TEMP,voice_rate,1,6685,-0.15230197938365192,5.5683032291667514e-36,8.642962784400417e-10,1604.7554870175827,0.9215756199804432,0.6649851047381966,0.15230197938365192
TEMP,voice_rate,8,6678,-0.15196633266696913,8.592625232602638e-36,9.531666652796022e-10,1603.5146949439013,0.9211337146999719,0.6652111866927922,0.15196633266696913
TEMP,voice_rate,10,6676,-0.15134331915140745,1.6842357038711217e-35,1.1306046784694669e-09,1603.4153206416988,0.9210277574291371,0.6652071645218609,0.15134331915140745
TEMP,voice_rate,7,6679,-0.14969855954944933,8.921568463359551e-35,1.69395507249012e-09,1603.5549154254952,0.9211894440322506,0.6652131968385895,0.14969855954944933
TEMP,voice_rate,9,6677,-0.14889421522737298,2.0831114322935286e-34,2.0968919347192204e-09,1603.4638766566834,0.9210810740356241,0.665209175920649,0.14889421522737298
