air_var,noise_var,lag_min,N,pearson_r,pearson_p,pearson_p_adj,Neff,rho1_air,rho1_noise,abs_r
dCO2,voice_rate,11,6449,0.02427647545120247,0.05124195904327299,0.05124195904327278,6449.0,-0.5303329827327723,0.6648774813879865,0.02427647545120247
dCO2,voice_rate,15,6445,0.018860245694624286,0.13003705812521024,0.13003705812521107,6445.0,-0.5302818902689017,0.664967655134076,0.018860245694624286
dCO2,voice_rate,2,6458,0.01883909327878081,0.13008101271578582,0.1300810127157867,6458.0,-0.5304298412992381,0.6648959736715968,0.01883909327878081
dCO2,voice_rate,6,6454,0.018327087787934574,0.14097285170184473,0.14097285170184432,6454.0,-0.530336674842627,0.6648877614989983,0.018327087787934574
dCO2,voice_rate,5,6455,0.01814105623374964,0.1450212281299917,0.14502122812999227,6455.0,-0.5303652825733646,0.6648898155342075,0.01814105623374964
dCO2,voice_rate,19,6441,0.015505475215927527,0.21341190071062718,0.21341190071062893,6441.0,-0.5300050945543414,0.6649594359058683,0.015505475215927527
dCO2,voice_rate,7,6453,0.014430578578672429,0.24643485312048205,0.24643485312048477,6453.0,-0.5303027812587628,0.6648857068018862,0.014430578578672429
dCO2,voice_rate,10,6450,0.012841568130018157,0.3024595782040296,0.3024595782040336,6450.0,-0.5303392447810644,0.6648795387359201,0.012841568130018157
dCO2,voice_rate,4,6456,0.012051427620533954,0.33295913722078213,0.3329591372207803,6456.0,-0.5303879438058243,0.6648918689078294,0.012051427620533954
dCO2,voice_rate,13,6447,-0.010053441030373787,0.4196163914843764,0.4196163914843791,6447.0,-0.5303244027107873,0.6649050244291912,0.010053441030373787
dCO2,voice_rate,14,6446,0.010024752492287493,0.42098053493991666,0.42098053493991194,6446.0,-0.5303114378848458,0.6649697082840664,0.010024752492287493
dCO2,voice_rate,3,6457,0.008878029079927754,0.4756761914841216,0.4756761914841212,6457.0,-0.5304102599798464,0.6648939216201861,0.008878029079927754
dCO2,voice_rate,18,6442,0.008517648805050322,0.4942758764249987,0.49427587642499793,6442.0,-0.5300767665341826,0.6649614917077985,0.008517648805050322
dCO2,voice_rate,1,6459,0.008272897814203895,0.5062051950688131,0.5062051950688207,6459.0,-0.5304499901146944,0.6646528716210695,0.008272897814203895
dCO2,voice_rate,0,6460,0.007598027554048123,0.54148067743372,0.541480677433722,6460.0,-0.5304680466218288,0.6648368906905074,0.007598027554048123
dCO2,voice_rate,8,6452,0.007435636736736885,0.5504037911424264,0.5504037911424287,6452.0,-0.5302834479928534,0.6648836514425508,0.007435636736736885
dCO2,voice_rate,16,6444,0.006934371863204903,0.5778334631884179,0.5778334631884166,6444.0,-0.5302354846839242,0.6649656013215808,0.006934371863204903
dCO2,voice_rate,17,6443,-0.004351201461848735,0.726941094535109,0.7269410945351066,6443.0,-0.5301577076886325,0.6649635468462626,0.004351201461848735
dCO2,voice_rate,12,6448,0.002042128684176834,0.869770373233429,0.8697703732334208,6448.0,-0.5303291799668512,0.6649418318235221,0.002042128684176834
dCO2,voice_rate,20,6440,0.0006662657153107201,0.9573676383323712,0.9573676383323665,6440.0,-0.5299978887831884,0.6649573794401501,0.0006662657153107201
dCO2,voice_rate,9,6451,-0.00028746675179219724,0.981583017528805,0.9815830175288086,6451.0,-0.5302646284000883,0.6648815954206676,0.00028746675179219724
