dataset,scope,air_var,alt,best_lag_min,pearson_r,N,p_value,decision,p_source,mean_diff,mean_voice,mean_silent
AIRQ001_NOISE102,FULL,CO2,greater,10.0,0.1337964425226283,3278,7.240194868172052e-15,Reject H0,,,,
AIRQ001_NOISE102,FULL,dCO2,greater,5.0,0.0621234002144144,3226,0.0002073712677516,Reject H0,,,,
AIRQ001_NOISE102,FULL,PM25,greater,0.0,0.045380921413106,1974,0.0218987791162936,Reject H0,,,,
AIRQ001_NOISE102,FULL,TEMP,two-sided,2.0,-0.1539722082480603,3340,3.6017081815543937e-19,Reject H0,,,,
AIRQ001_NOISE102,FULL,HUM,two-sided,10.0,0.0544955991583566,3332,0.0016504881378788,Reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,CO2,greater,10.0,0.0738520063940433,1409,0.0027729743182498,Reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,PM1,greater,0.0,-0.0006436153564973,850,0.5074744800850455,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,PM25,greater,0.0,-0.0024147441546251,850,0.5280216777006148,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,PM10,greater,0.0,-0.0030293204149776,850,0.5351369056814415,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,HUM,greater,7.0,0.054710228183453,1435,0.019121263173616,Reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,TEMP,greater,9.0,0.0434233696973777,1433,0.0501778474747523,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCWINDOW,dCO2,greater,5.0,0.0492683753853651,1391,0.0331062362308343,Reject H0,,,,
AIRQ001_NOISE102,OCCDAILY,CO2,greater,10.0,0.0511723556561654,1356,0.0297917903092765,Reject H0,,,,
AIRQ001_NOISE102,OCCDAILY,PM1,greater,0.0,0.023300210746462,820,0.2526131529937449,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCDAILY,PM25,greater,0.0,0.0246870110054086,820,0.2401072489585471,Fail to reject H0,,,,
AIRQ001_NOISE102,OCCDAILY,PM10,greater,0.0,0.0248414439881085,820,0.2387357532755059,Fail to reject H0,,,,
