pair,scope,air_var,alt,noise_var,best_lag_min,N,Neff,pearson_r,r2,r_CI95_lo,r_CI95_hi,p_adj,q_BH,decision,rev_max_abs_r,rev_max_lag,rev_noise_var
AIRQ001_NOISE102,ALL,CO2,greater,voice_rate_time,10,3196,1409.7,0.114,0.013,0.062,0.165,8.697346366617384e-06,4.28741099268634e-05,Reject H0,0.1010261141755899,-2,voice_rate_time
AIRQ001_NOISE102,ALL,HUM,two-sided,voice_rate_time,10,3245,1599.4,0.083,0.007,0.034,0.132,0.0008845157077080658,0.009729672784788724,Reject H0,0.07958937438289768,-1,voice_rate_time
AIRQ001_NOISE102,ALL,PM10,greater,voice_rate_time,8,1921,1028.5,0.06,0.004,-0.002,0.12,0.02818115326630114,0.18278167739506473,Fail to reject H0,0.05248479603956581,-10,voice_rate_time
AIRQ001_NOISE102,ALL,PM25,greater,voice_rate_time,8,1921,1027.8,0.06,0.004,-0.001,0.121,0.02628595038364135,0.16990126592669857,Fail to reject H0,0.0554845818090624,-10,voice_rate_time
AIRQ001_NOISE102,ALL,TEMP,two-sided,voice_rate_time,10,3246,1434.1,-0.179,0.032,-0.228,-0.128,9.570895633458424e-12,9.776873653184125e-11,Reject H0,-0.1687313725875652,-1,voice_rate_time
AIRQ001_NOISE102,ALL,dCO2_mean3,greater,voice_rate_time,2,3145,1598.7,0.172,0.03,0.124,0.219,2.210953606366621e-12,4.643002573369904e-11,Reject H0,0.1596132572322173,-4,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,CO2,greater,voice_rate_time,10,2710,1154.8,0.157,0.025,0.101,0.213,3.75511320072532e-08,4.1306245207978523e-07,Reject H0,0.12581303526127197,-1,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,HUM,two-sided,voice_rate_time,8,2721,1179.0,0.047,0.002,-0.011,0.103,0.11002023378180598,0.3292300704455941,Fail to reject H0,0.038725981000834825,-1,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,PM10,greater,voice_rate_time,8,1611,807.3,0.031,0.001,-0.038,0.1,0.19007381626820885,0.41745891088241516,Fail to reject H0,0.030409857489693725,-10,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,PM25,greater,voice_rate_time,8,1609,805.9,0.03,0.001,-0.039,0.099,0.19564475739392478,0.4129173090970788,Fail to reject H0,0.031724374092870544,-10,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,TEMP,two-sided,voice_rate_time,7,2724,1110.2,-0.162,0.026,-0.219,-0.104,5.62003290369429e-08,1.32418960278103e-07,Reject H0,-0.16002023596807155,-3,voice_rate_time
AIRQ001_NOISE102,OCCUPIED,dCO2_mean3,greater,voice_rate_time,2,2635,1209.0,0.188,0.035,0.133,0.242,2.1502880136336463e-11,4.515604828630657e-10,Reject H0,0.19281365765468222,-4,voice_rate_time
