lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,3205,1460.2313535675553,0.10657083222288992,2.246693118285192e-05,4.092907224743386,1458.2313535675553,0.9996205714734234,0.37413598178301394,0.05257226409178215,0.044578380220510555,voice_rate_time,4.28741099268634e-05
1,3205,1441.4215239833125,0.10525271624811079,3.1181170855900654e-05,4.015561844327075,1439.4215239833125,0.9996218338902004,0.37969987114296566,0.04743785600218966,0.071784950247808,voice_rate_time,4.28741099268634e-05
2,3204,1488.4015133763519,0.09927524383031501,6.24554880268841e-05,3.8464470501021863,1486.4015133763519,0.999619646121431,0.36575115419219056,0.04433582791654058,0.08728965190992032,voice_rate_time,7.022133943460613e-05
3,3203,1487.4360685382637,0.0991687303546068,6.38375813041874e-05,3.8410311269146846,1485.4360685382637,0.9996225857053921,0.3658959698404919,0.03748186850621059,0.14849535650528137,voice_rate_time,7.022133943460613e-05
4,3202,1459.6178584480724,0.09617182721982716,0.00011678933016387837,3.6888199040666243,1457.6178584480724,0.9996225224807994,0.3739131247847567,0.03600575682854544,0.1691732217554814,voice_rate_time,0.00011678933016387838
5,3201,1461.7411637779162,0.10567036549212092,2.583437299505601e-05,4.060032325181777,1459.7411637779162,0.9996221081706755,0.3731531035661376,0.045689356035193016,0.08076819997191191,voice_rate_time,4.28741099268634e-05
6,3200,1446.0418003052246,0.10743438633920527,2.1226051373815175e-05,4.106332496015685,1444.0418003052246,0.9996232044325799,0.37765896388760284,0.04440591129925135,0.09141322621895628,voice_rate_time,4.28741099268634e-05
7,3199,1428.1573706825745,0.10607328221557603,2.9542206652131906e-05,4.028532048887794,1426.1573706825745,0.9996226918181186,0.3828508289234761,0.045034447371746555,0.08889260246841789,voice_rate_time,4.28741099268634e-05
8,3198,1406.4805406700345,0.10956916480314771,1.911448754269659e-05,4.131130643261722,1404.4805406700345,0.9996224284695159,0.38922873617124015,0.04623105901875428,0.0830615481231467,voice_rate_time,4.28741099268634e-05
9,3196,1486.1301316159725,0.10589547784854524,2.153342156589483e-05,4.102628747576149,1484.1301316159725,0.9996196041416765,0.36532956052716953,0.048473885226359925,0.061732593017190154,voice_rate_time,4.28741099268634e-05
10,3196,1409.736423199295,0.1141440394836995,8.697346366617384e-06,4.310837828216765,1407.736423199295,0.999621069952313,0.3879815382672254,0.048915421094957764,0.06634719812551595,voice_rate_time,4.28741099268634e-05
