lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,3255,1572.0084300016827,0.0693600121301042,0.005938629055459025,2.7549094443379545,1570.0084300016827,0.9035773797284848,0.3858677948323054,-0.023328024053744185,0.35532356176921254,0.012335094044574179
1,3253,1586.0664125923602,0.06056048858076478,0.01585826185026231,2.4147597615881384,1584.0664125923602,0.9026089977280776,0.3816427849460437,-0.03448214630432416,0.16987907734643154,0.01938232003920949
2,3252,1524.265103625612,0.0680697359337538,0.007849605301092659,2.6619978431288858,1522.265103625612,0.9023233234567141,0.4008911766525337,-0.022237841836023484,0.3856126661376511,0.012335094044574179
3,3252,1549.7502419779505,0.06822939798648395,0.007210949110660692,2.6905137431653685,1547.7502419779505,0.9026766229207813,0.392727686045542,-0.021931539893720257,0.38825670663034206,0.012335094044574179
4,3250,1595.2127691411827,0.07014607953188833,0.005064546982668462,2.8067995414599167,1593.2127691411827,0.9017532867663833,0.37874034808074125,-0.025462892630100594,0.309458729045463,0.012335094044574179
5,3249,1574.119328849119,0.07105734621155593,0.004794308768701982,2.8245607701700073,1572.119328849119,0.9015008084258425,0.385203073088648,-0.021329572235386406,0.39773216853394133,0.012335094044574179
6,3248,1583.134976559591,0.057788498374679184,0.021480495421321074,2.3017187817976543,1581.134976559591,0.901243993973198,0.3823732255211884,-0.02581289034290245,0.3046939859707039,0.023628544963453183
7,3247,1574.0827723758207,0.06249102352053305,0.013146802795605378,2.482589933172862,1572.0827723758207,0.9015488773275511,0.38489351051672926,-0.02591789296447689,0.3041188787703108,0.018076853843957394
8,3247,1544.0154412330655,0.07459961878314098,0.0033567352854524534,2.9376008916994336,1542.0154412330655,0.9015924432777298,0.39425106628521384,-0.018830844865724318,0.4596612293462501,0.012335094044574179
9,3246,1601.111151255857,0.05558772748594482,0.026130701463620856,2.226333741941771,1599.111151255857,0.9006789799498651,0.3767762768222802,-0.015582302963889395,0.5332454999099561,0.026130701463620856
10,3245,1599.3772885991873,0.08305982642535742,0.0008845157077080658,3.331179598378396,1597.3772885991873,0.9016115521718283,0.37676698989377544,-0.008955449652874115,0.7204365355937186,0.009729672784788724
