lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,3146,1573.9388126689726,0.12774998870096693,1.8378068492934776e-07,5.106834473696112,1571.9388126689726,0.8529414277636732,0.390493552939181,0.16274610450919927,8.312986457235982e-11,voice_rate_time,4.824242979395378e-07
1,3146,1539.4772269114394,0.1553158453931785,4.498418240855409e-10,6.1648508256366865,1537.4772269114394,0.8544705028035753,0.401269342008283,0.1801347581981253,1.076310947929841e-12,voice_rate_time,2.3616695764490898e-09
2,3145,1598.7440873624178,0.17198573729322247,2.210953606366621e-12,6.976378239828512,1596.7440873624178,0.8556639577001758,0.38094026745324827,0.18365666213582182,1.3549556759807933e-13,voice_rate_time,4.643002573369904e-11
3,3146,1580.9190891950377,0.16017958611020214,7.507335029421952e-11,6.448092835703297,1578.9190891950377,0.8558872885224358,0.38684950858637096,0.17790677755277298,1.0406053388657142e-12,voice_rate_time,5.255134520595367e-10
4,3144,1572.007812736596,0.1609636916985579,6.867702161720999e-11,6.462181245379186,1570.007812736596,0.8541228654913933,0.390261328837704,0.17826253748401072,1.0845717190803462e-12,voice_rate_time,5.255134520595367e-10
5,3144,1574.4729250380592,0.13355302671011898,5.2178340397307026e-08,5.343839529232082,1572.4729250380592,0.8547423398134226,0.38916352374529845,0.15767547362236112,3.155792307054577e-10,voice_rate_time,1.6888790102291948e-07
6,3142,1614.5820658873947,0.14228299544992623,4.678134257557178e-09,5.77238177070136,1612.5820658873947,0.8519404854650587,0.3769238638420721,0.1684666392444462,9.571175417507429e-12,voice_rate_time,1.9648163881740146e-08
7,3141,1614.8326176411902,0.13154557237783873,5.629596700763983e-08,5.329191693762303,1612.8326176411902,0.8521736094751045,0.37657156711494455,0.15190213037841346,8.511047593182542e-10,voice_rate_time,1.6888790102291948e-07
8,3140,1536.6092113031682,0.11186076398958367,5.535329037557178e-06,4.409719354250767,1534.6092113031682,0.8521405056027678,0.40234359680372744,0.14497277446093146,1.1402139886141572e-08,voice_rate_time,1.291576775430008e-05
9,3138,1548.136246502701,0.094229326555862,0.00010246910152479904,3.721745443826486,1546.136246502701,0.8533619781186846,0.39756826279924756,0.15410022469662155,1.095572764750266e-09,voice_rate_time,0.00021518511320207798
10,3139,1580.6641914063641,0.07603599031641796,0.0012431886241708963,3.029864171401315,1578.6641914063641,0.8547774848552736,0.38627524520329265,0.1457484289367598,5.845166836183062e-09,voice_rate_time,0.0023733601006898928
11,3137,1570.0910082920532,0.06927112908669288,0.003016908610653791,2.7496814602853648,1568.0910082920532,0.8528816306420163,0.39030347405857113,0.1404254921587287,2.3029818914093214e-08,voice_rate_time,0.004525362915980686
12,3136,1571.941365255491,0.07524022649885065,0.0014180684480145703,2.98967922587965,1569.941365255491,0.8512954286634912,0.39024889643229543,0.12372105862413041,8.642509125642869e-07,voice_rate_time,0.0024816197840254977
13,3135,1583.2229676492623,0.06361383069232804,0.005674861341698359,2.5347120088537367,1581.2229676492623,0.8506795344172938,0.3866204968216091,0.10825979263966007,1.582221009727787e-05,voice_rate_time,0.007944805878377701
14,3134,1665.7810837748839,0.06960288318849357,0.002240973136156372,2.845967004632222,1663.7810837748839,0.8546017682618902,0.3579361794754749,0.09551599869699817,9.446281961408601e-05,voice_rate_time,0.0036200335276372164
15,3134,1625.6733645673069,0.04683928848557396,0.02950445651689016,1.8894549836027548,1623.6733645673069,0.8541288909163594,0.3710178788102732,0.07034862201988383,0.004543053064619981,voice_rate_time,0.038724599178418334
16,3133,1582.0259666067961,0.043285075606766026,0.04261667590170119,1.72217595295591,1580.0259666067961,0.8533878161303604,0.3854552807650967,0.06348518593257388,0.011548260298802016,voice_rate_time,0.04971945521865139
17,3131,1573.024729525631,0.030791952090183827,0.11112447734963399,1.2210535697333231,1571.024729525631,0.8536061810367174,0.38800150708945863,0.04967961215282236,0.04883700438248098,voice_rate_time,0.11668070121711568
18,3131,1559.241915617834,0.018829882107369453,0.22873793380299967,0.7431947784876239,1557.241915617834,0.8551874977022241,0.3918583596413931,0.05398599263177881,0.03303952625523745,voice_rate_time,0.22873793380299967
19,3130,1569.9142289557449,0.03536875921736817,0.08065069648953486,1.401369900964019,1567.9142289557449,0.8542957395086008,0.3885530326738364,0.05473340130652512,0.030116643160461937,voice_rate_time,0.08914024348843327
20,3129,1571.233399305593,0.044240850955502654,0.039791017016296865,1.754254793464807,1569.233399305593,0.8536816616067237,0.38822814040930853,0.0595562976910212,0.018227872450061123,voice_rate_time,0.049153609255425536
