lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,1611,727.7345713844026,0.018898650084555282,0.3053797715776453,0.5092103939119855,725.7345713844026,0.967122456933771,0.3905070051660384,0.11172878465174432,0.002541703626408493,0.41745891088241516
1,1614,806.8778931131477,0.006143059104478446,0.43084299159277856,0.174284148163477,804.8778931131477,0.9671373183968947,0.34472931518234146,0.10602000125193667,0.002566449294092974,0.4739272907520564
2,1611,781.5807017028526,0.017362871398945875,0.31395545586124685,0.4848613446332641,779.5807017028526,0.9670949900798754,0.3584581070672385,0.1149490206990432,0.00128577659689203,0.41745891088241516
3,1611,754.0618226894711,0.014889643466944992,0.34155729072197605,0.40837506568830945,752.0618226894711,0.96616557140137,0.37502086923592987,0.0763254870316672,0.03612723776620549,0.41745891088241516
4,1609,741.4870314674688,0.02135319824617308,0.2807758181287713,0.5808008536503809,739.4870314674688,0.9671033286508348,0.38163239986871683,0.10292688476673831,0.00502461580718186,0.41745891088241516
5,1609,737.9124882870001,0.01731349713821733,0.3193378682569374,0.4697458880257292,735.9124882870001,0.963748150335874,0.38512466547077306,0.11080467045505764,0.0025770738038464838,0.41745891088241516
6,1610,858.7718802876433,0.016429874453077357,0.31532736629827474,0.4809782875573283,856.7718802876433,0.9671586890164006,0.3146249329201803,0.09679211192809245,0.004525354444779363,0.41745891088241516
7,1605,700.6654296056565,0.018258551578635946,0.31473153945273113,0.48269561492801927,698.6654296056565,0.9648716285174616,0.40650258227652836,0.08784518698651847,0.020039092108609522,0.41745891088241516
8,1611,807.3168182378793,0.030928308694582456,0.19007381626820885,0.878106859453979,805.3168182378793,0.9671480324840194,0.3436202356580421,0.0962156090077247,0.006220636152379475,0.41745891088241516
9,1606,618.1103479162699,-0.020189416611879247,0.6918076760340557,-0.5012351873094659,616.1103479162699,0.9659190596213633,0.45984489544174534,0.09701633517366329,0.0158298639773991,0.6918076760340557
10,1604,667.0468779470666,0.03099452680666102,0.21208895170927067,0.7996866481678083,665.0468779470666,0.9660784842448832,0.4270506172214731,0.08773459212385756,0.023447436070315394,0.41745891088241516
