lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,2729,1129.834130142812,-0.16028165681912396,6.072938583086557e-08,-5.453281368419422,1127.834130142812,0.9914663570172132,0.4179837703742509,-0.1980533038973289,1.8622337972518616e-11,1.32418960278103e-07
1,2727,1097.4148978720787,-0.16043286808217477,9.127450864676253e-08,-5.379537563534014,1095.4148978720787,0.9911979574408089,0.4298843609471169,-0.19122200236189776,1.6976794591436878e-10,1.32418960278103e-07
2,2726,1125.0515381586197,-0.1584791046569656,9.113518474078595e-08,-5.378922635628841,1123.0515381586197,0.9912531724962143,0.4193855185848187,-0.19215882151037728,8.094074247075951e-11,1.32418960278103e-07
3,2727,1110.8982646535067,-0.15609604754267145,1.7049411164676627e-07,-5.262526427666849,1108.8982646535067,0.9914482406426429,0.4247224249394907,-0.18943478406119277,1.9593735466949187e-10,1.7049411164676627e-07
4,2726,1109.5660101416254,-0.16191768450043278,5.8526022728625845e-08,-5.460696946160612,1107.5660101416254,0.9911673893365917,0.42518849826324623,-0.19295823262350612,9.098117997595523e-11,1.32418960278103e-07
5,2726,1112.5987102276035,-0.1589435678160665,9.841872893318596e-08,-5.365100069469484,1110.5987102276035,0.9911934005581824,0.4240443538290257,-0.19436481223436253,6.221162531174458e-11,1.32418960278103e-07
6,2726,1111.868739750607,-0.1581543721911127,1.1512346480889081e-07,-5.336021322545917,1109.868739750607,0.9911964816026891,0.4243155809401231,-0.1902601692918283,1.5998413565505703e-10,1.32418960278103e-07
7,2724,1110.2472769843316,-0.1620817896579565,5.62003290369429e-08,-5.468061588549654,1108.2472769843316,0.991178487848373,0.42462445509525654,-0.19537026100714722,5.1737661569677234e-11,1.32418960278103e-07
8,2722,1077.141656767978,-0.16041268188130964,1.2038087298009363e-07,-5.32883626249298,1075.141656767978,0.9911868273835858,0.4368048914991519,-0.19501560561755535,1.0820357040696554e-10,1.32418960278103e-07
9,2722,1110.1614441343327,-0.15917338137783202,9.737118318287977e-08,-5.367159902757511,1108.1614441343327,0.9911934677459341,0.4243452173427915,-0.1946626642594413,6.096688360342892e-11,1.32418960278103e-07
10,2720,1108.4810731077214,-0.1608552168699075,7.262679701524977e-08,-5.421252895334845,1106.4810731077214,0.9912780271423193,0.42463269156127853,-0.19251728613644548,1.0267386533050034e-10,1.32418960278103e-07
