lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2683,1188.7600964825028,-0.03090532342783257,0.8564940176171506,-1.0651781898317667,1186.7600964825028,0.9910639052043063,0.38941280760338015,0.05612316491793131,0.053048475866434644,voice_rate_time,0.902035559582854
1,2682,1133.441758178281,-0.03444856622587301,0.8767375180717888,-1.1594314992660189,1131.441758178281,0.9910029849478734,0.4095507756937185,0.056737335523057195,0.05618661641120092,voice_rate_time,0.902035559582854
2,2681,1138.7427872601208,-0.02275392205517088,0.7784869230746907,-0.7673611798212369,1136.7427872601208,0.9914110866443879,0.4072573390487795,0.056637672206371364,0.05604469485113016,voice_rate_time,0.902035559582854
3,2680,1132.9797751066878,-0.020203013731435036,0.7515411090097065,-0.6795669161589618,1130.9797751066878,0.9910455456409589,0.4093906087375555,0.05867836205635804,0.048311147699531,voice_rate_time,0.902035559582854
4,2680,1133.387220995183,-0.011862138160300743,0.6550246403213442,-0.39902413937829195,1131.387220995183,0.9907265954513169,0.4093708039621855,0.06231851444355785,0.035929198031337914,voice_rate_time,0.902035559582854
5,2678,1182.668245930879,-0.028263240013098836,0.8342600766838659,-0.9715371611963578,1180.668245930879,0.9911316528967437,0.39079025585798466,0.05841908806229856,0.04457741635246343,voice_rate_time,0.902035559582854
6,2678,1173.7039439191108,-0.034346237361461515,0.8801572653401811,-1.1763713117881538,1171.7039439191108,0.9915023786671335,0.39390061436666135,0.052497807877975526,0.07219842293074048,voice_rate_time,0.902035559582854
7,2679,1161.2092594023259,-0.027580314030282042,0.8261365675362162,-0.9393887797052145,1159.2092594023259,0.9917615156260648,0.39851966513044346,0.052231618061772685,0.07521199274736128,voice_rate_time,0.902035559582854
8,2676,1164.665979604162,-0.03384642826474663,0.8757856378076152,-1.1547533480106267,1162.665979604162,0.9919796272991764,0.3966899218217847,0.05311328747367728,0.06999537708012353,voice_rate_time,0.902035559582854
9,2676,1211.224283710741,-0.03718471630010601,0.9020355595828539,-1.293952578616737,1209.224283710741,0.9921986717411354,0.379780700307976,0.05178357338762695,0.07161569266743441,voice_rate_time,0.902035559582854
10,2675,1181.978854769395,-0.02931126080326745,0.8430011067965588,-1.0072986557061088,1179.978854769395,0.9925751621589883,0.3899916398433702,0.05333751758540966,0.06678706753776258,voice_rate_time,0.902035559582854
