lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2689,1203.3411268985597,-0.01748266143286958,0.5445972972290216,-0.6060481075663683,1201.3411268985597,0.9630115732015684,0.39634802611397646,-0.04671333943563863,0.10530773103898822,voice_rate_time,0.7808512890604506
1,2691,1202.0697634978512,-0.01659528504432233,0.5654170433760276,-0.5749734279209415,1200.0697634978512,0.9617459698493515,0.39766904657240126,-0.04138163482277861,0.15161246372145284,voice_rate_time,0.7808512890604506
2,2691,1231.4141504751813,-0.011826655213259488,0.678428725354777,-0.4147070458525675,1229.4141504751813,0.962518770377738,0.3866045755707342,-0.04444192807731753,0.1190624890975458,voice_rate_time,0.7808512890604506
3,2690,1208.6941723567559,-0.006549272484052254,0.8200655343736488,-0.22751025734778016,1206.6941723567559,0.9626081908823073,0.394708073517492,-0.03871625841636618,0.17858264456072007,voice_rate_time,0.8200655343736488
4,2689,1220.1682734118485,-0.015265828215324493,0.5942179167437549,-0.532874114852194,1218.1682734118485,0.9614908538269838,0.3907891721125866,-0.04372547898768156,0.1268766050300709,voice_rate_time,0.7808512890604506
5,2688,1211.1912192238872,-0.012947584906420019,0.6525967415774903,-0.4502696406069813,1209.1912192238872,0.9615241519888935,0.3939032232255866,-0.04404334161021837,0.1255311428379459,voice_rate_time,0.7808512890604506
6,2687,1216.2501691456735,-0.010678490230876126,0.7098648082367733,-0.372124876694184,1214.2501691456735,0.961282107176909,0.39197788140048767,-0.04163828014776596,0.146706902192816,voice_rate_time,0.7808512890604506
7,2686,1210.7469522493989,-0.015056022620917694,0.6007135080893868,-0.5235126544142625,1208.7469522493989,0.9612982641182463,0.39382760834349956,-0.04286463036080131,0.13605257248318187,voice_rate_time,0.7808512890604506
8,2686,1175.5893113838927,-0.011439036173468763,0.6952028158115413,-0.3919005942390737,1173.5893113838927,0.961686206006941,0.40672004771548215,-0.03973676504619678,0.1733438677257546,voice_rate_time,0.7808512890604506
9,2685,1211.513141396964,-0.011983084446553287,0.6769145301963877,-0.4167783000038495,1209.513141396964,0.9613789289141782,0.3933467103520714,-0.04879888420041297,0.08954720143941974,voice_rate_time,0.7808512890604506
10,2684,1212.1753099670452,-0.0177552060303181,0.5368511493290606,-0.6177579259293391,1210.1753099670452,0.961010849048115,0.39308756324949484,-0.04643787545855314,0.10609449331752677,voice_rate_time,0.7808512890604506
