lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,3197,1472.8467960338505,0.09280355384360134,0.00036211185346276474,3.574593056730136,1470.8467960338505,0.999627578609513,0.36934735336281965,0.03767992262302855,0.14835854611928936
-9,3198,1436.2523163335754,0.08926613260757231,0.000707081989728011,3.394194737540336,1434.2523163335754,0.9996251119543682,0.3803004819766727,0.03525523848186424,0.18176116442498133
-8,3198,1421.3978781682943,0.0890266964581839,0.0007789883434542917,3.3674429431929704,1419.3978781682943,0.9996226851768966,0.38474120654785765,0.035871297397244706,0.1764890909620026
-7,3202,1435.4197298451404,0.09663228493945066,0.0002458980418757825,3.6757514849633357,1433.4197298451404,0.9996249334582379,0.3810832762324302,0.044115115635963965,0.09477229957629116
-6,3201,1416.4263257901496,0.09976287641299225,0.00016944533583091467,3.7707795320927233,1414.4263257901496,0.9996245409724596,0.3866318234900178,0.04416932835765703,0.09657786601571451
-5,3202,1436.4157737974315,0.09787336331416788,0.00020312250672791389,3.7247073981847025,1434.4157737974315,0.9996243830146446,0.3807868343327823,0.04438109428037072,0.09268311051550417
-4,3202,1398.9789868674397,0.09578697269725296,0.00033352739769861717,3.596689426632739,1396.9789868674397,0.9996248365701261,0.39202476248954626,0.03816161859239771,0.15369521883275103
-3,3203,1430.5260117802275,0.09902338533184711,0.0001759617867506847,3.7611583636042774,1428.5260117802275,0.9996240312758148,0.3826763093880535,0.04411946753866663,0.0953051948146391
-2,3204,1434.5351849629155,0.1010261141755899,0.00012665982341278757,3.8433855206944503,1432.5351849629155,0.9996229526303645,0.3816144899536342,0.04705888879495799,0.07478168656740013
-1,3204,1430.4493203194736,0.10065625847516549,0.00013711867099642093,3.8237059721004427,1428.4493203194736,0.9996251821342798,0.3828320399661867,0.047281747949597844,0.0738255795640319
