lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,3137,1543.5830874395556,0.12286415357086063,1.2880649006662814e-06,4.860843322251217,1541.5830874395556,0.8581033466651321,0.39672527301107663,0.15108795215298465,2.4391615395273117e-09
-9,3137,1573.7485206424174,0.11892329202322373,2.236424774163447e-06,4.7484452563522925,1571.7485206424174,0.8574122713258017,0.38703410217679957,0.13979627606604045,2.5657737019032148e-08
-8,3138,1567.182301800079,0.13025698471191896,2.285055223733598e-07,5.1975587878841125,1565.182301800079,0.8558505809149539,0.39007793170135924,0.1478890424012384,4.0465010324889714e-09
-7,3140,1487.1412337895877,0.14816293915710566,9.435102170975433e-09,5.773556697213106,1485.1412337895877,0.8562007756315438,0.4172029522143179,0.1700133931788115,4.142503373838454e-11
-6,3142,1520.0737153220884,0.1451138007051572,1.3222305556340836e-08,5.71447937878922,1518.0737153220884,0.8556228317626017,0.40660209394260866,0.16509939791822467,9.411745689014481e-11
-5,3142,1530.1357980944001,0.14183787951243731,2.519430469928793e-08,5.601267466796165,1528.1357980944001,0.8533056054654928,0.4043043315723109,0.16664969030949928,5.401763798138838e-11
-4,3142,1582.670767412032,0.1596132572322173,1.7047584979006028e-10,6.4282608113208015,1580.670767412032,0.8544500501526984,0.3862598703523312,0.1690264077568343,1.3077298436825567e-11
-3,3143,1579.9801984448663,0.12600116989840876,5.047747889641001e-07,5.045456956562876,1577.9801984448663,0.8548873592060067,0.3871145187351807,0.15489845886986267,6.032737983852369e-10
-2,3144,1578.5350501638484,0.10829886593692487,1.6172732704002384e-05,4.32551298689251,1576.5350501638484,0.8545598011921784,0.38790528698475085,0.15065499084615308,1.7959646914439158e-09
-1,3147,1587.6898953496607,0.11100153623023405,9.285748180933293e-06,4.447646721228161,1585.6898953496607,0.8554879500520437,0.3849701505908072,0.15458983310661792,5.934277866806033e-10
