lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2714,1147.6980557954128,0.11114867153456831,0.00016126163162817527,3.7856348042023535,1145.6980557954128,0.9995393855102183,0.40578618923674353,0.06695041253106711,0.0233170685738378
-9,2715,1118.9970177049956,0.10747307739701645,0.0003163327430061155,3.6128376006187732,1116.9970177049956,0.9995477684899222,0.4164648705546308,0.067227233548136,0.024520321183509032
-8,2715,1120.836411416643,0.11011585716196397,0.00022103074840620532,3.7058025211858734,1118.836411416643,0.9995326616679019,0.4157917021500884,0.0726110708556315,0.015039105521478283
-7,2717,1141.9580502460642,0.11546442401143149,9.203381380405269e-05,3.924705862664979,1139.9580502460642,0.9995430483190871,0.4083387215745028,0.08028293276451294,0.006639555835945258
-6,2717,1122.9251379850102,0.11990716731115787,5.6214048135559125e-05,4.04369316151704,1120.9251379850102,0.9995453570609046,0.4153205776760867,0.08275384339933411,0.005524255405569155
-5,2718,1138.254294988051,0.1169308275533245,7.677434259373735e-05,3.9687732914275458,1136.254294988051,0.9995402248147276,0.40984651065191113,0.0796204984452375,0.007197735939286683
-4,2719,1116.0696616827934,0.11968319090636223,6.116611450154865e-05,4.023669091006853,1114.0696616827934,0.9995516434337145,0.4181539024058834,0.08212947350292533,0.006045278177727348
-3,2720,1130.001207089543,0.1213974370646418,4.2866840086062854e-05,4.107601348303819,1128.001207089543,0.9995519649089556,0.41317168538736443,0.08523133592318699,0.0041419886303094774
-2,2721,1133.9653769089298,0.12516111161772184,2.3713513319302403e-05,4.244383197743479,1131.9653769089298,0.9995510816389742,0.4118707269223655,0.09202258510936967,0.0019223633156999931
-1,2720,1151.7200242370411,0.12581303526127197,1.851326529971188e-05,4.300177554783953,1149.7200242370411,0.9995502906575038,0.4052425158345917,0.09500929747540894,0.0012460055290491917
