lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2720,1104.5626830775025,-0.1552792923902033,2.1446013024365064e-07,-5.219334405080301,1102.5626830775025,0.9913167342276283,0.4260846514895279,-0.18822077327667844,2.88453623502101e-10
-9,2721,1101.7270535889706,-0.15765342223269455,1.4416439757343895e-07,-5.294331967728583,1099.7270535889706,0.9912364676456489,0.4273360177645072,-0.19111118499961346,1.6028792787727317e-10
-8,2722,1090.4320239897254,-0.1534685931979029,3.5398043894468065e-07,-5.123842162117467,1088.4320239897254,0.9913349986719691,0.43170057246411636,-0.18380517225109433,9.669985519739752e-10
-7,2724,1112.715439196692,-0.15749030434742092,1.2879883798074232e-07,-5.315071264921924,1110.715439196692,0.9913420066800003,0.42363237922043384,-0.1930261992312829,8.42739343010085e-11
-6,2724,1096.6400940604894,-0.1491540940177136,6.99632875806652e-07,-4.990640228709507,1094.6400940604894,0.9914459889408395,0.42961399745813544,-0.18806843217807,3.452127076587538e-10
-5,2725,1110.1564326187554,-0.1555474490599321,1.9028974229111507e-07,-5.241817682315584,1108.1564326187554,0.9914104246478352,0.42471137572293477,-0.18877044120060632,2.3030492007392892e-10
-4,2726,1096.0904242039046,-0.15690105852918768,1.779543813251807e-07,-5.254907803506114,1094.0904242039046,0.9912290260967027,0.4302179661077407,-0.192241430225256,1.387386024884734e-10
-3,2728,1108.9807405736738,-0.16002023596807155,8.44089874321747e-08,-5.39358769700457,1106.9807405736738,0.9913841022204375,0.4256184496546285,-0.1961365660842223,4.447642679644986e-11
-2,2727,1110.1266541572438,-0.1597990513166518,8.664735582705522e-08,-5.388723981417068,1108.1266541572438,0.9912625924347657,0.42509025583255683,-0.1949040144331762,5.772459128333176e-11
-1,2728,1123.9012449011839,-0.1597141553072147,7.32584055884497e-08,-5.419156847597324,1121.9012449011839,0.9912808934771628,0.42010632694679195,-0.19432844956628278,5.0223296051554146e-11
