lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2672,1140.7402693953447,-0.015693219347009332,0.5964672532946282,-0.5296364542700166,1138.7402693953447,0.9921121321662411,0.40480967126485845,0.043961208603470324,0.13784270866003345
-9,2674,1109.002882210407,-0.0252910863328023,0.4001122271657078,-0.8417454939290008,1107.002882210407,0.9920236352289797,0.4170180473647877,0.04187236445004219,0.16348093562777902
-8,2675,1075.285036974372,-0.03511645087849123,0.24992235769244556,-1.1511610788964919,1073.285036974372,0.9919504966973897,0.43001967900155447,0.042697363065450404,0.16177645099716595
-7,2677,1049.0942773444367,-0.0349668461237758,0.2578184707131659,-1.1321788026697435,1047.0942773444367,0.9919938408498825,0.4404193939856759,0.04135000702056789,0.18080157262676713
-6,2677,1104.4782913742251,-0.03393801147967455,0.2597708524464592,-1.1275132843177602,1102.4782913742251,0.9918581412008284,0.4192619748462998,0.04379278896072113,0.1458227405490238
-5,2678,1138.02293939553,-0.024805996297248722,0.40313843637790114,-0.8363419576095215,1136.02293939553,0.9916613603829278,0.4069489042607339,0.04744269627394941,0.10968688193977752
-4,2679,1092.761329891116,-0.02348504922289482,0.4380074528195348,-0.7758471001287685,1090.761329891116,0.9914266886687241,0.4241932210283101,0.05208033184432892,0.08528459122432644
-3,2680,1081.725818738784,-0.017201629761288445,0.5719768899278466,-0.5653151204584824,1079.725818738784,0.9914505987154407,0.42854167877174687,0.052084156773020834,0.08685820386408263
-2,2682,1110.2763603541946,-0.02042423267559433,0.496595459704941,-0.6800805994493261,1108.2763603541946,0.9913337020404802,0.4180770572004815,0.050824509852396206,0.09051254308160772
-1,2681,1158.34108971591,-0.02518069745449234,0.3918757332885566,-0.8565416068182781,1156.34108971591,0.9912352647732778,0.4001005855989251,0.05092165633460508,0.08321280896291952
