lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2681,1136.6521536129967,-0.02683830981140898,0.3659946865043381,-0.9043634443034219,1134.6521536129967,0.9608575842818462,0.4210074192557408,-0.05753266939474092,0.05248377980342616
-9,2682,1126.2846575640806,-0.023310350848135607,0.4344868813911136,-0.7818167598369388,1124.2846575640806,0.9592993061409231,0.4258401452402545,-0.053876905801670254,0.07069636584265775
-8,2683,1114.7989970830283,-0.018384110715675007,0.5397553265300541,-0.6133726293560532,1112.7989970830283,0.9610420802941463,0.42966239767968806,-0.05021594788353187,0.0937740732072919
-7,2685,1151.6838058044123,-0.018878079108637376,0.5221617740756394,-0.6402128839059984,1149.6838058044123,0.9611944321353321,0.4157808350256856,-0.0516130071154591,0.0799755274652271
-6,2686,1163.748305376177,-0.013717896757044297,0.6401507264190293,-0.4676106787956537,1161.748305376177,0.9610178054290477,0.41145533279623236,-0.050971825093461764,0.08219290898925356
-5,2688,1177.558239246434,-0.02189301490984548,0.4529154969976653,-0.7508129456610025,1175.558239246434,0.9610522174542206,0.40657884573824643,-0.04759710147027919,0.10257162408346002
-4,2688,1176.8724953685069,-0.01617255968922965,0.5794039048643862,-0.5544098450355118,1174.8724953685069,0.960857201070869,0.4069181771119063,-0.05027863815600174,0.08469066189518072
-3,2691,1174.844086398245,-0.014920741462233388,0.6094159354899157,-0.5110447075195999,1172.844086398245,0.9611257012405473,0.4080555968001243,-0.045134263006492356,0.1220651840734962
-2,2691,1174.8661670323972,-0.01643641245704611,0.5735587799190158,-0.5629760657732815,1172.8661670323972,0.9607526275592609,0.408205773884707,-0.044658221316559964,0.1260530256174625
-1,2691,1239.0289509365355,-0.01559603363768061,0.583378012581375,-0.54860141017297,1237.0289509365355,0.960974178332121,0.3844594047216535,-0.042898328051086884,0.13125149508166886
