lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,3258,1435.5924578235865,-0.18146914055769225,4.288704378335564e-12,-6.986938429625468,1433.5924578235865,0.9916936092851325,0.3915278073297444,-0.20202032911192958,1.096512310902876e-14,5.8969685202114e-12
1,3255,1447.6474283497416,-0.18498124392181559,1.3087482810349256e-12,-7.15680772747618,1445.6474283497416,0.9916121229745355,0.38757756883026395,-0.20256422707798458,7.17824029921411e-15,3.2521128288509413e-12
2,3255,1463.0184545242064,-0.18495424388429427,1.0040880504144449e-12,-7.193667596735023,1461.0184545242064,0.9918376252986413,0.3829422796604196,-0.2033848814955186,3.99953603576787e-15,3.2521128288509413e-12
3,3255,1463.9137066310122,-0.1821970737780358,2.1563582566277856e-12,-7.084888119013107,1461.9137066310122,0.9916473449361559,0.3827517820039617,-0.2018399928354986,6.3696788625183674e-15,3.3885629747008057e-12
4,3252,1462.6004457456427,-0.17895699214626123,5.428488593714575e-12,-6.951562813873698,1460.6004457456427,0.9916914355868899,0.38272415184805875,-0.2022210510177865,5.813823653029613e-15,5.971337453086033e-12
5,3251,1458.0302162528747,-0.18325409010955532,1.773879724827786e-12,-7.1130584780837465,1456.0302162528747,0.9916495685527794,0.3839575980669911,-0.20453058556440945,3.104184186763544e-15,3.2521128288509413e-12
6,3250,1458.5029958404975,-0.18493354096057948,1.094216739489649e-12,-7.1817100809693155,1456.5029958404975,0.9918058732996872,0.38362469785970593,-0.20676502374078715,1.5115342206892648e-15,3.2521128288509413e-12
7,3250,1458.609138356905,-0.18370454282543305,1.5467334919136189e-12,-7.132570356215613,1456.609138356905,0.9917247546552512,0.38362469785970593,-0.20749083395354387,1.195512667527126e-15,3.2521128288509413e-12
8,3249,1459.749813876572,-0.18379186332727182,1.479233287508393e-12,-7.138872784727301,1457.749813876572,0.9915970835504188,0.3832041592864434,-0.20853747438227624,8.323382500620543e-16,3.2521128288509413e-12
9,3248,1446.9271797062977,-0.17923900620047087,6.520931084936556e-12,-6.925421886278823,1444.9271797062977,0.9916027676442284,0.38686966872547845,-0.2058746052287589,2.5891354717523213e-15,6.5209310849365556e-12
10,3247,1432.5511187616244,-0.18090771517666707,5.266500833957413e-12,-6.957198292160729,1430.5511187616244,0.9916448811725769,0.39100685110155653,-0.20840736758465048,1.6023205347971814e-15,5.971337453086033e-12
