lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2709,1130.6191013289344,0.12382139185878366,1.4904224543319299e-05,4.192030265652669,1128.6191013289344,0.999637175118615,0.4112266713756529,0.09137113194246768,0.0021024748741728634,voice_rate_time,1.4904224543319299e-05
1,2707,1124.4832583484963,0.13034374758546635,5.806890517864394e-06,4.404545083041632,1122.4832583484963,0.9996429579447489,0.4131773158715376,0.09587494125172448,0.0012870742579468807,voice_rate_time,7.097310632945371e-06
2,2708,1124.7985802841251,0.13456514138142878,2.9682017595110395e-06,4.550421109017485,1122.7985802841251,0.9996411721840405,0.4132149621669408,0.0941531964824987,0.0015710700601888083,voice_rate_time,4.664317050660205e-06
3,2705,1135.3003979308694,0.12696810256807692,8.903359552650615e-06,4.309196339925422,1133.3003979308694,0.9996401397943654,0.40889110619706925,0.08735722921944329,0.0032209535889343344,voice_rate_time,9.793695507915677e-06
4,2706,1148.0563512353635,0.12942719684132478,5.434611193912063e-06,4.418723869079654,1146.0563512353635,0.9996394070262058,0.40438060394385755,0.0935211248272418,0.001512485781952086,voice_rate_time,7.097310632945371e-06
5,2705,1153.170116347603,0.13422299177191585,2.3952416609375197e-06,4.595623280831877,1151.170116347603,0.9996414555975162,0.4023634096793037,0.10006289795782336,0.0006669175214925508,voice_rate_time,4.391276378385453e-06
6,2704,1163.1974516458738,0.13668449895810353,1.4436368222520247e-06,4.701836943009326,1161.1974516458738,0.9996398587868238,0.3985722668786549,0.09830800619015356,0.000786814658649246,voice_rate_time,3.1760010089544545e-06
7,2703,1157.430275383565,0.13914314157224153,1.0080175069079773e-06,4.776162059292422,1155.430275383565,0.9996396918402712,0.4005063416324109,0.10203908818607345,0.0005074324481887253,voice_rate_time,2.7720481439969376e-06
8,2700,1164.907962491863,0.14861666871239304,1.741198710851291e-07,5.124955107653287,1162.907962491863,0.9996364002556947,0.3973316866802382,0.11052500454972829,0.0001569311409775526,voice_rate_time,6.3843952731214e-07
9,2699,1130.7725844304794,0.1592050572167865,3.682667088229358e-08,5.417948924195431,1128.7725844304794,0.9996398245750694,0.4096307082140499,0.12078604376325364,4.6592662978597786e-05,voice_rate_time,2.025466898526147e-07
10,2698,1090.5663206414533,0.1677190285226116,1.2601102252028237e-08,5.613136759142639,1088.5663206414533,0.9996410885076252,0.4244378154760424,0.12351921875763064,4.312646384002706e-05,voice_rate_time,1.386121247723106e-07
