lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2718,1142.150675990566,0.00079959046822524,0.9784651972127425,0.02699907415483974,1140.150675990566,0.9483468923757395,0.43047031411933334,-0.0553850406059792,0.06132233922314621,voice_rate_time,0.9944422824132123
1,2717,1140.214618579551,0.00416049156837068,0.888396022439994,0.14036553475818309,1138.214618579551,0.9480454167372884,0.431190950711622,-0.05222839872245875,0.07792266395596213,voice_rate_time,0.9944422824132123
2,2717,1121.5790186848594,0.004074895475737626,0.8915710190562312,0.13634758637137448,1119.5790186848594,0.948698062555115,0.43810357824019297,-0.04690272660697041,0.11644209221059325,voice_rate_time,0.9944422824132123
3,2716,1174.5336463607098,0.004655909868381238,0.8733570176734127,0.1594306910676315,1172.5336463607098,0.9479275782743041,0.4179744313174053,-0.05363802958230636,0.06611846089918325,voice_rate_time,0.9944422824132123
4,2714,1168.909165530541,0.0013788789762898585,0.9624394969119694,0.047102622570178436,1166.909165530541,0.9483352134450751,0.4195994480373593,-0.053776684021884104,0.06606965025864762,voice_rate_time,0.9944422824132123
5,2713,1154.2374613636593,0.00319124251507824,0.9137558977895395,0.10832607712077594,1152.2374613636593,0.9478650113394742,0.42523854894517327,-0.05344658225415327,0.06950425003987389,voice_rate_time,0.9944422824132123
6,2712,1214.4690807537847,-0.003907000439174511,0.8918084076895694,-0.13604485151289683,1212.4690807537847,0.9471015493521482,0.4026957711593181,-0.053093769254863143,0.06436018188499222,voice_rate_time,0.9944422824132123
7,2712,1211.1906206028461,-0.0002003559877282827,0.9944422824132124,-0.006967062710991156,1209.1906206028461,0.9476068623251716,0.40369923633564997,-0.051761744453045516,0.0717394685465894,voice_rate_time,0.9944422824132123
8,2711,1123.612101858508,0.011148744971372243,0.708921319352424,0.3734000022334011,1121.612101858508,0.947476524714001,0.43691119023195335,-0.04319951472446952,0.14786177122900493,voice_rate_time,0.9944422824132123
9,2711,1135.356397978526,0.008438785588607032,0.7763819155434587,0.2841048627118153,1133.356397978526,0.9479045208291097,0.4321593094609443,-0.03896933268327636,0.1894777498752044,voice_rate_time,0.9944422824132123
10,2710,1149.7945656513043,0.006187114904528504,0.8340030273674495,0.2096180016325242,1147.7945656513043,0.9471785881899918,0.4267619825993797,-0.03716160742673757,0.20797139770806647,voice_rate_time,0.9944422824132123
