lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,1610,720.8963207813086,0.017095933433975117,0.32338483384338346,0.4584473046649412,718.8963207813086,0.9644362770309635,0.3955085834833128,0.09061058481235534,0.014948018153993858,voice_rate_time,0.6761488731622355
1,1610,792.5535578506555,-0.025976890371076908,0.7673901449701755,-0.7306331794548343,790.5535578506555,0.9644216410898339,0.35279245055359926,0.0353755197236142,0.3199100756036491,voice_rate_time,0.7699532465810791
2,1607,694.1764735958416,0.007048394865512525,0.4264681247761626,0.18544256735814701,692.1764735958416,0.9643501704222498,0.41134113100889025,0.08392882050943444,0.027021357013206328,voice_rate_time,0.6761488731622355
3,1610,777.7102614628961,0.00525239126849202,0.4418654744031164,0.1462893902138286,775.7102614628961,0.9644459516803637,0.3614223620327236,0.04883454400233485,0.17367412498131068,voice_rate_time,0.6761488731622355
4,1610,712.1964012233367,-0.02772324589680448,0.7699532465810791,-0.7390950089243835,710.1964012233367,0.9643825127047141,0.40089724114058023,0.04101544278624479,0.2743425314984966,voice_rate_time,0.7699532465810791
5,1605,629.782866035973,0.009580291928984172,0.40518456554977683,0.24005093580774897,627.782866035973,0.9610530584417208,0.454065624911687,0.06148337635212722,0.12323218140146182,voice_rate_time,0.6761488731622355
6,1608,862.6638504045071,0.0007056129236262222,0.4917446350270803,0.020700622981798308,860.6638504045071,0.9644303001305408,0.3128006725568504,0.02306712210753267,0.4986500491066197,voice_rate_time,0.6761488731622355
7,1604,726.2624111186896,0.009898973379490495,0.39499754765212675,0.2664154510621638,724.2624111186896,0.9621112646368866,0.391502525608337,0.07090834235761323,0.05612803386995578,voice_rate_time,0.6761488731622355
8,1606,795.36262573234,0.013409486499992209,0.35286430070567065,0.377734859550831,793.36262573234,0.9644873198676566,0.35000347277789334,0.017118104035854897,0.6297748326967181,voice_rate_time,0.6761488731622355
9,1607,618.2926466972854,-0.01897802741899977,0.6811744433328581,-0.4712189918420418,616.2926466972854,0.9623998273229918,0.4616630271027434,0.06253969355817295,0.12031464415051221,voice_rate_time,0.7699532465810791
10,1602,679.2201376548586,0.012088854581039104,0.37657478724093973,0.3146167363045101,677.2201376548586,0.9644800745467531,0.4194089094198139,0.0361793577359898,0.34646273615273804,voice_rate_time,0.6761488731622355
