lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,q_BH
0,2625,1197.464296562386,0.11496678383894328,3.33965571857155e-05,4.001565567119411,1195.464296562386,0.8572650315743966,0.4356406852107982,0.19903460769031478,3.654755271965261e-12,7.274109167494079e-05
1,2625,1197.4224776418184,0.11472031983423783,3.463861508330514e-05,3.992802704824203,1195.4224776418184,0.8572662743289298,0.43565758175137276,0.1914680120175704,2.3813069338514836e-11,7.274109167494079e-05
2,2625,1180.9512840057025,0.11635380257017151,3.0633040527916224e-05,4.022428901847317,1178.9512840057025,0.8564971060130103,0.44298877308204876,0.1894762352027205,5.2384175522507514e-11,7.274109167494079e-05
3,2625,1189.5144401989187,0.15128576811994462,7.922414600917625e-08,5.2740617932420655,1187.5144401989187,0.856332286371033,0.43945786980788376,0.21121352439047966,1.8371439550725531e-13,3.3274141323854024e-07
4,2623,1217.3381771150014,0.15353097098577656,3.6587430685592974e-08,5.416570509198668,1215.3381771150014,0.8566904071623805,0.4272553171616849,0.20731301539425329,2.766414687439257e-13,1.920840110993631e-07
5,2621,1191.9650760783902,0.1563763998458968,2.8714958667868104e-08,5.4615303088424145,1189.9650760783902,0.8557571441043476,0.43795499266977483,0.20314822524505635,1.438880809757431e-12,1.920840110993631e-07
6,2623,1231.1833077837646,0.15498363196200138,2.3062959301371573e-08,5.500139259344799,1229.1833077837646,0.8541531553642928,0.42277950407577397,0.2048309525254909,3.9597711175257117e-13,1.920840110993631e-07
7,2618,1255.3426289169672,0.15336034167308987,2.3726200033869292e-08,5.494347985500084,1253.3426289169672,0.8514343084065089,0.41318981541843974,0.20030738322685956,7.910612939345652e-13,1.920840110993631e-07
8,2617,1276.8080331754156,0.1356982547762092,5.676480866408099e-07,4.890266012469333,1274.8080331754156,0.8537789896286326,0.4031317561745315,0.20049762434245352,4.801627373682858e-13,1.9867683032428347e-06
9,2618,1250.789141838742,0.12187008923675897,7.733596218464221e-06,4.339013649568663,1248.789141838742,0.853068988008067,0.4142631320858155,0.18783073183080407,2.1426655414657148e-11,2.3200788655392665e-05
10,2617,1159.8955971228502,0.10591785645494217,0.00015101696816370718,3.624547023118464,1157.8955971228502,0.8558064782803847,0.45079606953435053,0.16364537459675543,2.0810265431505355e-08,0.0002642796942864876
11,2617,1165.7365203489019,0.0981427933017077,0.00039627113349180215,3.364243704470687,1163.7365203489019,0.8526987759471497,0.4499295680724643,0.16343354822781112,2.0014111124644685e-08,0.0006401302925636804
12,2614,1173.7920529570893,0.11494987216969066,3.9543236830034856e-05,3.9611579599145363,1171.7920529570893,0.8531698699615793,0.4456599063957725,0.16828501767275486,6.598823999859348e-09,7.549163394824836e-05
13,2613,1228.319415809823,0.0735093192687633,0.004980591255159471,2.5811947080893005,1226.319415809823,0.8522915672925951,0.4229421705287645,0.13602624706776864,1.7118635030070184e-06,0.007470886882739207
14,2614,1183.8875998759916,0.048216498150772294,0.048635603313066295,1.6595455296853556,1181.8875998759916,0.85283086000587,0.44153502282444057,0.10651182868424763,0.0002412250346123571,0.06383422934839951
15,2614,1121.017308941188,0.05083340406471611,0.04445416125475264,1.7026658974249713,1119.017308941188,0.8534729238553257,0.4683520291323409,0.10578093807579149,0.00038857934444845214,0.06223582575665369
16,2614,1198.315085860878,0.020224943267989934,0.24213185646790863,0.6996791680837837,1196.315085860878,0.8579258113897861,0.4328406916712371,0.09591254706978689,0.000886165564924006,0.2991040579897695
17,2613,1227.9179795653274,0.007080895154447841,0.4021148942145908,0.2479303874090516,1225.9179795653274,0.8561068387251216,0.42122340292819876,0.08374923103535445,0.0033152814506311632,0.4443091832603349
18,2611,1233.9942479985864,0.016552738839242024,0.2806474115638137,0.5810770300384118,1231.9942479985864,0.8536531684561964,0.419525731508658,0.08074895813157663,0.00453501084326789,0.3274219801577826
19,2610,1214.5413906388635,0.004022823031961395,0.4443091832603349,0.14008212726924693,1212.5413906388635,0.8549611674388923,0.4267673681578809,0.07080328338008177,0.013584345549649043,0.4443091832603349
20,2609,1193.6621018779877,0.004679621945922101,0.4358459876570914,0.16154446718354337,1191.6621018779877,0.8561064234965737,0.4347550583730959,0.06650917875748015,0.02156232903549996,0.4443091832603349
