lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,1585,706.8515411155973,-0.01890863593263533,0.6921215651987866,-0.502095904321597,704.8515411155973,0.9621063642694058,0.3982523746369041,0.24204517578231183,6.984269628751788e-11,voice_rate_time,0.9044548173746496
1,1583,959.2853220848854,-0.04224682508586886,0.9044548173746496,-1.308285975898494,957.2853220848854,0.9620762304550052,0.25500705133504653,0.24236361049304436,2.7298074972029735e-14,voice_rate_time,0.9044548173746496
2,1584,751.7107166379091,-0.026317744336747037,0.7643872892667316,-0.7208517821911152,749.7107166379091,0.9620250232420181,0.37039821122873706,0.2424312352779445,1.622432873351801e-11,voice_rate_time,0.9044548173746496
3,1584,915.2447318164491,-0.03127245891942569,0.8276767588637276,-0.9455142643962724,913.2447318164491,0.9621292269632238,0.2781153908734619,0.22128374663333042,1.2927888162499743e-11,voice_rate_time,0.9044548173746496
4,1582,626.9819329697068,-0.04563092870350253,0.8730431549848072,-1.1419462183998965,624.9819329697068,0.9620918379032015,0.44936877704553707,0.24534842212441224,4.767097287600449e-10,voice_rate_time,0.9044548173746496
5,1582,656.994176637021,-0.03210889174159656,0.7943637760626554,-0.8221821152647751,654.994176637021,0.9587652438277017,0.4309027053706245,0.2179472869099144,1.6638851037198348e-08,voice_rate_time,0.9044548173746496
6,1580,899.6276547249583,-0.0192067656324032,0.71746791847961,-0.5755492196732511,897.6276547249583,0.9621074417453044,0.2851915198229811,0.23176974798043407,1.9496468469084852e-12,voice_rate_time,0.9044548173746496
7,1580,739.9668138077373,-0.018909649532813568,0.6962211722057416,-0.5137827940054182,737.9668138077373,0.9598590706137682,0.37723084612252994,0.2320051685992808,1.6832297235198818e-10,voice_rate_time,0.9044548173746496
8,1579,974.8399826498414,-0.010693402663082257,0.6306046331181803,-0.3335503941846007,972.8399826498414,0.9621151307987362,0.24588455744347085,0.21840435740268282,5.433855915538199e-12,voice_rate_time,0.9044548173746496
9,1579,539.5765015982952,-0.03918288421266323,0.818168895982202,-0.9091806438398384,537.5765015982952,0.9601391008228546,0.5109921441808558,0.23276752015727917,4.508663202814341e-08,voice_rate_time,0.9044548173746496
10,1579,723.4810364126756,-0.020456236702609123,0.7086104302758234,-0.5495776801378925,721.4810364126756,0.9621422901477994,0.38618399822464883,0.21420927431600253,5.904717602623576e-09,voice_rate_time,0.9044548173746496
