lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj,noise_var,q_BH
0,2589,1217.9005311221624,0.029571838688533036,0.1512290077927884,1.0316142428602255,1215.9005311221624,0.8209284110543724,0.4387247619085448,-0.05635698701976611,0.049262378215823174,voice_rate_time,0.28870992396805056
1,2588,1275.1876805795612,0.04572850004833762,0.05131797981481192,1.6333818339170667,1273.1876805795612,0.8192515745041088,0.4148007675137973,-0.05699845847699977,0.04184480443851396,voice_rate_time,0.15117402830648258
2,2588,1184.1373180308462,0.03292621090387251,0.12878696322088698,1.1326905158106515,1182.1373180308462,0.818087338107691,0.4549225497065899,-0.06350447767079946,0.028876434603933195,voice_rate_time,0.27045262276386267
3,2590,1228.4126873118782,0.08448212457395786,0.0015219245216674118,2.9691937058708575,1226.4126873118782,0.8164894820387274,0.4367290058693113,-0.051217428468927,0.07274048946980878,voice_rate_time,0.007990103738753912
4,2587,1281.2027609330737,0.11005914657913038,3.9469656420821336e-05,3.9604287376605676,1279.2027609330737,0.8108833588785752,0.416301645599247,-0.04484755449311174,0.1086019032667875,voice_rate_time,0.000828862784837248
5,2585,1251.596273355768,0.08605156709529334,0.0011559361322319485,3.0532163181916343,1249.596273355768,0.8167288826148525,0.4255373157949703,-0.049299692033641276,0.08125724651304765,voice_rate_time,0.007990103738753912
6,2584,1279.4778693440414,0.09851669374814268,0.00020851538230313944,3.538378976783726,1277.4778693440414,0.8125999022409199,0.41552413729904564,-0.0470951952587373,0.09220619977486631,voice_rate_time,0.002189411514182964
7,2582,1346.0039093066816,0.07775738079951057,0.002155712479091613,2.8592938640604584,1344.0039093066816,0.812227220876187,0.38740716221570026,-0.05012712634832302,0.06598765530178151,voice_rate_time,0.009053992412184774
8,2581,1370.5863503866049,0.06459011518639945,0.008389059600269233,2.3944731360553404,1368.5863503866049,0.8150217911616411,0.37583144633158255,-0.04675495028571972,0.08357630761410481,voice_rate_time,0.029361708600942314
9,2580,1308.985009272916,0.04356253985894111,0.05759010602151717,1.576380183308125,1306.985009272916,0.8116685029038877,0.40265742357633977,-0.055498146167494294,0.04469152563700709,voice_rate_time,0.15117402830648258
10,2579,1181.27174298661,0.020272302279193216,0.24318764588501135,0.6963046220744239,1179.27174298661,0.8170640670600556,0.4549329597844242,-0.07060162473816292,0.015223749878658068,voice_rate_time,0.4255783802987699
11,2579,1189.6419619670705,0.012154674661599342,0.3376797232138603,0.41890755074275055,1187.6419619670705,0.8099544221895689,0.45516485127495454,-0.0688690796070156,0.017515685563861686,voice_rate_time,0.5454826298070051
12,2578,1283.9993282888054,0.03416402520451799,0.11059647295976843,1.2239580428271966,1281.9993282888054,0.8099173592895346,0.41369626542334487,-0.06177489518001803,0.026860835298098587,voice_rate_time,0.25805843690612634
13,2579,1328.6490229057902,-0.002959873304501353,0.5429180531880021,-0.10780851027900024,1326.6490229057902,0.8050297788175765,0.39747008056458316,-0.08096277570322542,0.003144814843244088,voice_rate_time,0.8143770797820032
14,2580,1282.135341314066,-0.026720032077030338,0.8304637481012046,-0.95635692900486,1280.135341314066,0.8124966207412265,0.41359983275661055,-0.10495218280201694,0.00016671579110352894,voice_rate_time,0.9945408296725262
15,2579,1294.058080083027,-0.04767412489674865,0.9567631457816751,-1.7156071472660506,1292.058080083027,0.8168379133652331,0.40615668040704145,-0.10834947081116857,9.407233749200376e-05,voice_rate_time,0.9945408296725262
16,2576,1262.6160154539098,-0.07161037659459617,0.9945408296725262,-2.549081809435384,1260.6160154539098,0.8185360764370718,0.41800282783619785,-0.11227215101766633,6.385401386983608e-05,voice_rate_time,0.9945408296725262
17,2575,1309.08707472874,-0.06748631882912925,0.992700876946945,-2.4454525162366636,1307.08707472874,0.8146266092905281,0.40008869929345187,-0.11380838944367859,3.671769757137385e-05,voice_rate_time,0.9945408296725262
18,2576,1328.6091839041148,-0.05120517245365705,0.9689723606927095,-1.8674777412765904,1326.6091839041148,0.8115505604375357,0.39364921416323034,-0.11793252230972474,1.6351155483460345e-05,voice_rate_time,0.9945408296725262
19,2575,1294.276853239607,-0.0665423049607891,0.9916732768951646,-2.397393147531997,1292.276853239607,0.8183690080360491,0.4044606535169167,-0.1211417645250486,1.2419209850669676e-05,voice_rate_time,0.9945408296725262
20,2573,1283.6106690019105,-0.05408661890973441,0.9736468363071737,-1.9391171877646827,1281.6106690019105,0.8253616118164379,0.40507366402568906,-0.12504168713554492,7.0156452251108735e-06,voice_rate_time,0.9945408296725262
