lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,3248,1521.2879429796021,0.03739821928295749,0.14484615737063325,1.4587299169233063,1519.2879429796021,0.9497344034326166,0.3812099325103196,-0.03171040645070907,0.21641503478552493
-9,3249,1492.7881698756164,0.024184450014659836,0.35042813849812104,0.9340523731551187,1490.7881698756164,0.9496599659833812,0.3900018070280979,-0.039834643050082344,0.12395152951368908
-8,3250,1458.0423681552122,0.03759978609303572,0.1512875624755233,1.435752523170968,1456.0423681552122,0.9498021368671349,0.40073219240546387,-0.029605430216191414,0.2585852354589253
-7,3251,1482.1340323393497,0.0347373581077097,0.1813496359837692,1.3372404170489334,1480.1340323393497,0.9497885231485625,0.3934768681179565,-0.028533506256074502,0.2722945748234379
-6,3252,1492.621898552389,0.032807188122401874,0.2052385143379635,1.2673209127778935,1490.621898552389,0.9499035320339138,0.3903714704803618,-0.027045692522489024,0.29638755618581974
-5,3252,1520.711979151322,0.034079385061517434,0.18409117872021608,1.3288678708378538,1518.711979151322,0.9497628932689228,0.38193450855754135,-0.026965653334211113,0.29331035474649064
-4,3255,1519.8569672370002,0.03816951600985461,0.13691728221207233,1.4881567290027555,1517.8569672370002,0.9500031746565409,0.3825162217941077,-0.025263477574517208,0.3249915816052221
-3,3255,1510.8828313148283,0.03177824192610461,0.21701212569138262,1.2350286256846548,1508.8828313148283,0.9505932547449933,0.38497946785257947,-0.02729435942350584,0.2890293891723906
-2,3256,1526.7361488085583,0.03210125993714226,0.2099861995090238,1.2541321761891804,1524.7361488085583,0.9501875355100193,0.3805182679974862,-0.022897469001617966,0.37128549953743295
-1,3258,1514.2757181161942,0.034719875700961064,0.1768972984337433,1.3510006983770722,1512.2757181161942,0.9504488303862972,0.38443555543971614,-0.021824135294835054,0.39607188813560124
