lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1918,972.5565268148654,0.04699673064233752,0.14304185288649268,1.4657442738365465,970.5565268148654,0.9604221257798055,0.34055867286869274,0.12454568892714514,9.850773025829459e-05
-9,1919,1046.5238676460192,0.022036324966815922,0.47639660098248016,0.712367052058319,1044.5238676460192,0.960426539055971,0.306328905477539,0.10543219916633859,0.0006350555460214426
-8,1920,865.1833512662654,0.009479014057161306,0.780690834542648,0.2785057762111248,863.1833512662654,0.960427957949285,0.39432870414538657,0.11856947794656202,0.0004742469641410895
-7,1920,857.5425112822965,0.022350406077598906,0.513348673713429,0.6539050873600749,855.5425112822965,0.9604549196660097,0.39826657737936855,0.10724941288313118,0.0016599157484532485
-6,1922,981.7006890413522,0.0016335316411428536,0.959232442846458,0.051129887513118505,979.7006890413522,0.9604220672443926,0.33717249537636657,0.10878697482077979,0.0006394146703373818
-5,1919,973.4392796028534,0.03645679212970858,0.25580267220703656,1.1370382741100067,971.4392796028534,0.9604198506513233,0.3403800081934936,0.1395463682111319,1.2444717485288285e-05
-4,1921,1047.46919951267,0.012413491524207012,0.6882038244302839,0.4014052396833231,1045.46919951267,0.9604828699768652,0.3063769242329595,0.09690373964123049,0.0016900498741499461
-3,1922,846.761181477856,0.02777462523734412,0.41956272674888506,0.8075748040141909,844.761181477856,0.9604310885630519,0.40434607158826774,0.12455959143842932,0.00027972810938919104
-2,1924,923.4532381349065,0.02366700789207358,0.4725548486796326,0.7186239217898832,921.4532381349065,0.9604275291261638,0.3658610615638674,0.10733261231927169,0.0010881404206723288
-1,1924,844.4207940751924,-0.007810175144382893,0.8207172840518653,-0.22669323412882966,842.4207940751924,0.9604277406838827,0.4060296162665988,0.08842920542668473,0.010143795080492284
