lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,3249,1433.225056186109,-0.16509712267231125,3.2161732290173286e-10,-6.33278036564685,1431.225056186109,0.9917014387133487,0.39104684914774107,-0.1796681658973397,7.294520713494812e-12
-9,3250,1435.7366402438397,-0.16905967062332528,1.1428411990106305e-10,-6.494884798340782,1433.7366402438397,0.991710076685104,0.3904250980982974,-0.18308128325723155,2.7434820931930358e-12
-8,3251,1434.755081404713,-0.173008938536901,4.185496122018732e-11,-6.648955889913801,1432.755081404713,0.9917399434511706,0.39083821590140894,-0.1881006095873738,6.824628558628929e-13
-7,3251,1434.7936262701994,-0.17569894326258878,2.0609536730110833e-11,-6.7556941206161,1432.7936262701994,0.9917107386848715,0.39083821590140894,-0.19245782065547862,1.9448763884983611e-13
-6,3252,1433.8367730610664,-0.1763985965762342,1.7378947173869612e-11,-6.781192822900401,1431.8367730610664,0.9916921081771091,0.3912630682644454,-0.19230800337981804,2.069248146132372e-13
-5,3254,1435.3241161204921,-0.17556203669638337,2.1190814514367072e-11,-6.75151205291908,1433.3241161204921,0.9917219922899227,0.391070550303828,-0.19335696987525686,1.480359252726263e-13
-4,3254,1435.242670124709,-0.17804152542847448,1.0944483634445308e-11,-6.849769112566814,1433.242670124709,0.9917836303851894,0.3910705503038281,-0.19432473103369463,1.1159217073785868e-13
-3,3255,1435.6208633025403,-0.17975719706424675,6.840307798869304e-12,-6.91888180964415,1433.6208633025403,0.991808183374685,0.3910796267329063,-0.19860703472106234,3.093222455660884e-14
-2,3255,1435.0485652056811,-0.18064080612073513,5.4296556289611305e-12,-6.952648227373325,1433.0485652056811,0.9917071140411935,0.39129025365786985,-0.200390971916939,1.8241548302760075e-14
-1,3257,1435.0402990043458,-0.18131845774960695,4.5118858051000666e-12,-6.979595014705628,1433.0402990043458,0.9918007316416176,0.39151878921965466,-0.20123343720589326,1.4114290918306917e-14
