lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2709,1169.1455689973075,0.02160254910810152,0.4605466576527705,0.7381912169991399,1167.1455689973075,0.9481034672994592,0.4187933969725672,-0.04330451328398127,0.1389235301398214
-9,2710,1162.1150720219186,0.021868065395439906,0.45641381113176727,0.7450145693946427,1160.1150720219186,0.9480682653762423,0.42164873963816857,-0.05271435316946099,0.07244087840741682
-8,2711,1124.3104110758593,0.03906869357972089,0.19051920186473942,1.309836485641307,1122.3104110758593,0.9489051939551663,0.4359820699162717,-0.044190508911965,0.13865572928252226
-7,2712,1146.9068491539954,0.024815424756375496,0.4011257482526671,0.8399250842329663,1144.9068491539954,0.9476725807823316,0.42797419176487794,-0.04723166226038911,0.10988813472901074
-6,2713,1154.933589130199,0.022531802147365936,0.44427405699773603,0.7652588217454908,1152.933589130199,0.948198581282819,0.4248226415558731,-0.047956375478036176,0.10332636035691381
-5,2713,1155.9312075647817,0.017193509739647797,0.5592387103365057,0.5841423590945053,1153.9312075647817,0.9479545597151735,0.42455041801943083,-0.05099828738979045,0.08307041706344191
-4,2716,1153.6776751774844,0.02079752035614548,0.48036500337612376,0.7059451789686857,1151.6776751774844,0.9482882450270722,0.4257508067928703,-0.04912255476882885,0.09537797219604739
-3,2716,1144.7562254345519,0.01313657919072961,0.6570426984986885,0.44411614603224836,1142.7562254345519,0.9490000888314803,0.4288495280608643,-0.05469986588495981,0.06430028226763035
-2,2717,1159.551206766589,0.00901758853172801,0.7590385166199953,0.3068161240436661,1157.551206766589,0.9483935218481294,0.4236231377295741,-0.054802765870352564,0.06210530664033154
-1,2719,1149.336251853116,0.016737478177293343,0.5708134171012371,0.5670171863707156,1147.336251853116,0.9488062284839032,0.42766615643860784,-0.05386774310811887,0.06791729295458318
