lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2617,1218.8604786494411,0.13918503869778337,1.0715112134044006e-06,4.902988877693101,1216.8604786494411,0.8580761492115477,0.4247778664644641,0.17778755734212312,4.0929437737839623e-10
-9,2618,1213.3321624073242,0.12871535805122838,6.871476770349994e-06,4.517412473810933,1211.3321624073242,0.8579576552443463,0.42732468344868085,0.174750073039513,8.899541947306794e-10
-8,2621,1149.1112621315792,0.15080473168323985,2.808035954821017e-07,5.166698720829956,1147.1112621315792,0.8584310556361643,0.45479469940450634,0.20227837236030108,4.4800445859240745e-12
-7,2619,1168.1843493411075,0.17361093369928585,2.331333720763236e-09,6.0201362770012254,1166.1843493411075,0.8568526100456076,0.44708454994318425,0.20801903811070674,6.925218390362022e-13
-6,2620,1221.6979899464397,0.17546954340622029,6.623028879936041e-10,6.224706206246755,1219.6979899464397,0.8566669195317334,0.4248794877101304,0.20189964456984583,1.0544004268735104e-12
-5,2621,1138.6960806398913,0.18899304105074885,1.2886704081670084e-10,6.488824792233859,1136.6960806398913,0.8558461991705539,0.460668790941925,0.2068445805513199,1.807566926827154e-12
-4,2621,1190.0745408473686,0.18474570118167888,1.3457002927763962e-10,6.4794339465717234,1188.0745408473686,0.8550684319567,0.43910531550026527,0.2147728480508765,6.945880710020366e-14
-3,2621,1253.7950914277558,0.15149669435666613,7.040655631694949e-08,5.42265109285081,1251.7950914277558,0.8591641471695098,0.410684887974725,0.19715054924853045,1.8791354013771024e-12
-2,2621,1265.2944933310616,0.15759172493217988,1.7465290772550205e-08,5.672136736981517,1263.2944933310616,0.8575078978390154,0.4068099102596093,0.2106724147408879,3.6880045229565795e-14
-1,2622,1155.4996260369733,0.13954988426858944,1.9182344692138865e-06,4.786396699261902,1153.4996260369733,0.8537964830419097,0.45469835865980446,0.20719475356154896,1.1371576215628951e-12
