lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,1578,725.4265561081866,-0.0016078785632056688,0.9655169664195,-0.043246506460520896,723.4265561081866,0.9627507888198086,0.3844532604694751,0.2836821269913875,6.808089878186219e-15
-9,1579,834.4003373647562,-0.02191472333962657,0.5272853486196905,-0.6324212106365227,832.4003373647562,0.9627312105830885,0.3204707632182073,0.2726539549642677,1.0885499333878461e-15
-8,1579,711.1398216899385,-0.03482972454195694,0.35368833120274923,-0.9280674906815046,709.1398216899385,0.9626975607578498,0.39363879290538545,0.2733964515921857,1.1737894558801486e-13
-7,1580,798.0018414386806,-0.02430508496976348,0.49295429530637513,-0.6859342597929449,796.0018414386806,0.9626786815093772,0.34159553809693755,0.2607630045507423,7.176851219211556e-14
-6,1579,887.9632561339313,-0.029436589470714893,0.3809611532841374,-0.876563916080813,885.9632561339313,0.9627388632715888,0.29095776755371483,0.27098122976205935,2.07347382409576e-16
-5,1581,780.6201448102062,-0.015641631403957527,0.6625849887757223,-0.436513821283042,778.6201448102062,0.9627112056518763,0.35203843179434785,0.26802982827823996,2.6079086087712594e-14
-4,1580,920.5817965249073,-0.0389166273846662,0.23815317531300012,-1.1803837801813681,918.5817965249073,0.9627262020148623,0.27391579409060196,0.2514969255386345,9.547253917543968e-15
-3,1583,733.135568036543,-0.017579708604423296,0.634629408601007,-0.47542032750377955,731.135568036543,0.9629078297261852,0.3810666655072589,0.26152281068663086,6.263807914752463e-13
-2,1583,786.9425259655072,-0.03289895101141099,0.35669543267399695,-0.9222233935507418,784.9425259655072,0.9627198555182142,0.34890458875852737,0.23724751639291633,1.5699454606064995e-11
-1,1583,670.1108151482348,-0.028939110098455654,0.45452634477061005,-0.7483268948398918,668.1108151482348,0.9626947173767052,0.42086898349670515,0.2652476858707048,2.9749746863745708e-12
