lag_min,N,Neff,r,p_adj,t,df,r1x,r1y,spearman_rho,spearman_p_adj
-10,2581,1137.2505754158178,0.08154565110168253,0.005931664297674945,2.7567377597580895,1135.2505754158178,0.8263187642704775,0.4699001194043864,-0.034612625475686255,0.24348813280925716
-9,2581,1205.581928513291,0.06644320514771263,0.02104568947155244,2.3101977973545496,1203.581928513291,0.8246578392095749,0.44046720299502057,-0.04040631815175384,0.16088990978569945
-8,2585,1217.7588065569785,0.08665391085010683,0.00247404055724596,3.0328335074580277,1215.7588065569785,0.822236169094155,0.4372700951803533,-0.03129554156752491,0.27516398603830416
-7,2584,1282.2912727147138,0.10827007281357312,0.00010245775423335792,3.896936663838108,1280.2912727147138,0.8189194473479697,0.41112895349317014,-0.029051554177313116,0.29856542726154495
-6,2585,1286.1532633203597,0.11733496813770973,2.459666787485791e-05,4.233954956781775,1284.1532633203597,0.8169360707241188,0.41070450770876793,-0.034834683631407334,0.21187007224080923
-5,2585,1260.9815501489386,0.06852725931605523,0.014938284362888665,2.437222438824766,1258.9815501489386,0.8173893256215672,0.4211704361458103,-0.042935253565007964,0.12755006812768335
-4,2587,1294.393541595382,0.08869842637936923,0.0014013231962381892,3.201315274711647,1292.393541595382,0.8193007734774903,0.40647634591640514,-0.04016768315366958,0.14864707135294794
-3,2590,1343.6657167541182,0.060816178783070135,0.025795975995082474,2.2317519431621786,1341.6657167541182,0.8239737343364769,0.38452424019079934,-0.05181194936364024,0.05760012013257708
-2,2587,1294.6270050422272,0.06772433526553252,0.014800303116794998,2.440504534060544,1292.6270050422272,0.8214977488061574,0.4052916872803695,-0.03843339885255463,0.16695816503216557
-1,2587,1220.1421565249632,0.04978553101540875,0.08215255501413142,1.739766721606007,1218.1421565249632,0.8210658797579732,0.4372665448566092,-0.0457529935425461,0.11018215596048202
