id_sensor,id_parameter,value,created_at
SCD30,TEMP,26.36,2025-08-12 10:03:48
SCD30,HUM,64.42,2025-08-12 10:03:48
SCD30,CO2,1424.04,2025-08-12 10:03:48
ENVIRO,TEMP,6.22,2025-08-12 10:03:55
ENVIRO,HUM,106.77,2025-08-12 10:03:55
ENVIRO,PRES,636.94,2025-08-12 10:03:55
ENVIRO,LLUM,23.16,2025-08-12 10:03:55
DHT22,TEMP,18.25,2025-08-12 10:04:05
DHT22,HUM,87.6,2025-08-12 10:04:05
PMS5003,PM1,5.14,2025-08-12 10:04:34
PMS5003,PM25,8.16,2025-08-12 10:04:34
PMS5003,PM10,8.19,2025-08-12 10:04:34
PMS5003,UM03,968.79,2025-08-12 10:04:34
PMS5003,UM05,286.63,2025-08-12 10:04:34
PMS5003,UM1,57.3,2025-08-12 10:04:34
PMS5003,UM25,0.86,2025-08-12 10:04:34
PMS5003,UM5,0.0,2025-08-12 10:04:34
PMS5003,UM10,0.0,2025-08-12 10:04:34
SCD30,TEMP,25.0,2025-08-12 10:04:49
SCD30,HUM,70.44,2025-08-12 10:04:49
SCD30,CO2,1435.92,2025-08-12 10:04:49
ENVIRO,TEMP,17.43,2025-08-12 10:04:56
ENVIRO,HUM,82.09,2025-08-12 10:04:56
ENVIRO,PRES,1007.27,2025-08-12 10:04:56
ENVIRO,LLUM,23.16,2025-08-12 10:04:56
DHT22,TEMP,18.45,2025-08-12 10:05:07
DHT22,HUM,87.0,2025-08-12 10:05:07
SCD30,TEMP,24.08,2025-08-12 10:05:50
SCD30,HUM,74.87,2025-08-12 10:05:50
SCD30,CO2,1443.53,2025-08-12 10:05:50
ENVIRO,TEMP,18.74,2025-08-12 10:05:57
ENVIRO,HUM,80.24,2025-08-12 10:05:57
ENVIRO,PRES,1007.3,2025-08-12 10:05:57
ENVIRO,LLUM,23.16,2025-08-12 10:05:57
DHT22,TEMP,18.55,2025-08-12 10:06:08
DHT22,HUM,86.8,2025-08-12 10:06:08
PMS5003,PM1,4.84,2025-08-12 10:06:16
PMS5003,PM25,7.89,2025-08-12 10:06:16
PMS5003,PM10,8.3,2025-08-12 10:06:16
PMS5003,UM03,891.14,2025-08-12 10:06:16
PMS5003,UM05,267.75,2025-08-12 10:06:16
PMS5003,UM1,55.68,2025-08-12 10:06:16
PMS5003,UM25,2.09,2025-08-12 10:06:16
PMS5003,UM5,0.32,2025-08-12 10:06:16
PMS5003,UM10,0.0,2025-08-12 10:06:16
SCD30,TEMP,23.41,2025-08-12 10:06:51
SCD30,HUM,78.34,2025-08-12 10:06:51
SCD30,CO2,1448.93,2025-08-12 10:06:51
ENVIRO,TEMP,19.2,2025-08-12 10:06:58
ENVIRO,HUM,78.87,2025-08-12 10:06:58
ENVIRO,PRES,1007.28,2025-08-12 10:06:58
ENVIRO,LLUM,23.16,2025-08-12 10:06:58
DHT22,TEMP,18.75,2025-08-12 10:07:10
DHT22,HUM,86.0,2025-08-12 10:07:10
SCD30,TEMP,22.97,2025-08-12 10:07:52
SCD30,HUM,81.12,2025-08-12 10:07:52
SCD30,CO2,1454.46,2025-08-12 10:07:52
